---------------------------------------------------------------------------------------------------------------------------
 Mult. |          Configurations           |     Terms    |       Ei           Ek       | gi   gk |    Aki    | Acc. |Type|
  No.  |                                   |              |     (cm-1)       (cm-1)     |         |    s^-1   |      |    |
       |                                   |              |                             |         |           |      |    |
---------------------------------------------------------------------------------------------------------------------------
    26 |         2s2.2p3 - 2s2.2p2.(1D).3s |   2D* - 2D   |  19227.949   -   99663.621  | 10 - 10 | 3.45e+08  |      |    |
       |                                   |              |                             |         |           |      |    |
       |                                   |              |  19233.177   -   99663.427  |  4 - 6  | 2.36e+07  | A    |    |
       |                                   |              |  19224.464   -   99663.912  |  6 - 4  | 3.33e+07  | A    |    |
       |                                   |              |  19233.177   -   99663.912  |  4 - 4  | 3.10e+08  | A    |    |
       |                                   |              |  19224.464   -   99663.427  |  6 - 6  | 3.22e+08  | A    |    |
       |                                   |              |                             |         |           |      |    |
    27 |         2s2.2p3 - 2s2.2p2.(3P).4s |   2D* - 4P   |  19227.949   -  103693.88   | 10 - 12 | 1.24e+05  |      |    |
       |                                   |              |                             |         |           |      |    |
       |                                   |              |  19224.464   -  103735.48   |  6 - 6  | 1.88e+03  | C    |    |
       |                                   |              |  19233.177   -  103667.16   |  4 - 4  | 3.34e+04  | B    |    |
       |                                   |              |  19224.464   -  103667.16   |  6 - 4  | 2.45e+05  | B    |    |
       |                                   |              |  19233.177   -  103622.51   |  4 - 2  | 1.78e+05  | B    |    |
       |                                   |              |  19233.177   -  103735.48   |  4 - 6  | 2.16e+02  | C    |    |
       |                                   |              |                             |         |           |      |    |
    28 |                                   |   2D* - 2P   |  19227.949   -  104196.027  | 10 - 6  | 9.77e+07  |      |    |
       |                                   |              |                             |         |           |      |    |
       |                                   |              |  19233.177   -  104144.820  |  4 - 2  | 1.03e+08  | B+   |    |
       |                                   |              |  19233.177   -  104221.630  |  4 - 4  | 9.91e+06  | B+   |    |
       |                                   |              |  19224.464   -  104221.630  |  6 - 4  | 8.52e+07  | B+   |    |
       |                                   |              |                             |         |           |      |    |
    29 |         2s2.2p3 - 2s2.2p2.(3P).3d |   2D* - 2P   |  19227.949   -  104628.323  | 10 - 6  | 1.05e+07  |      |    |
       |                                   |              |                             |         |           |      |    |
       |                                   |              |  19233.177   -  104615.470  |  4 - 4  | 3.93e+05  | C+   |    |
       |                                   |              |  19233.177   -  104654.030  |  4 - 2  | 5.86e+06  | C+   |    |
       |                                   |              |  19224.464   -  104615.470  |  6 - 4  | 1.25e+07  | C+   |    |
       |                                   |              |                             |         |           |      |    |
    30 |                                   |   2D* - 4F   |  19227.949   -  104693.916  | 10 - 28 | 1.54e+06  |      |    |
       |                                   |              |                             |         |           |      |    |
       |                                   |              |  19224.464   -  104716.950  |  6 - 8  | 2.79e+06  | B+   |    |
       |                                   |              |  19233.177   -  104683.060  |  4 - 6  | 3.06e+06  | B+   |    |
       |                                   |              |  19224.464   -  104683.060  |  6 - 6  | 3.03e+05  | B+   |    |
       |                                   |              |  19233.177   -  104664.130  |  4 - 4  | 1.11e+05  | B+   |    |
       |                                   |              |  19224.464   -  104664.130  |  6 - 4  | 4.91e+04  | C    |    |
       |                                   |              |                             |         |           |      |    |
