-----------------------------------------------------------------------------------------------------------------------
 Mult. |         Configurations          |     Terms    |      Ei           Ek      | gi   gk |    Aki    | Acc. |Type|
  No.  |                                 |              |    (cm-1)       (cm-1)    |         |    s^-1   |      |    |
       |                                 |              |                           |         |           |      |    |
-----------------------------------------------------------------------------------------------------------------------
       |                                 |              |                           |         |           |      |    |
       |                                 |              |      0.0    -  190120.24  |  1 - 3  | 3.94e+06  | B+   |    |
       |                                 |              |    130.8    -  190120.24  |  5 - 3  | 5.91e+05  | B+   |    |
       |                                 |              |     48.7    -  190120.24  |  3 - 3  | 8.74e+04  | B+   |    |
       |                                 |              |                           |         |           |      |    |
    18 |        2s2.2p2 - 2s2.2p.4s      |   3P  - 3P*  |     88.9    -  196652.68  |  9 - 9  | 2.54e+08  |      |    |
       |                                 |              |                           |         |           |      |    |
       |                                 |              |    130.8    -  196711.54  |  5 - 5  | 1.91e+08  | B    |    |
       |                                 |              |     48.7    -  196592.07  |  3 - 3  | 6.26e+07  | B    |    |
       |                                 |              |    130.8    -  196592.07  |  5 - 3  | 1.05e+08  | B    |    |
       |                                 |              |     48.7    -  196540.23  |  3 - 1  | 2.51e+08  | B    |    |
       |                                 |              |     48.7    -  196711.54  |  3 - 5  | 6.47e+07  | B    |    |
       |                                 |              |      0.0    -  196592.07  |  1 - 3  | 8.45e+07  | B    |    |
       |                                 |              |                           |         |           |      |    |
    19 |        2s2.2p2 - 2s2.2p.4d      |   3P  - 3D*  |     88.9    -  210277.43  |  9 - 15 | 2.10e+09  |      |    |
       |                                 |              |                           |         |           |      |    |
       |                                 |              |    130.8    -  210301.68  |  5 - 7  | 2.10e+09  | C+   |    |
       |                                 |              |     48.7    -  210266.04  |  3 - 5  | 1.58e+09  | C+   |    |
       |                                 |              |      0.0    -  210239.83  |  1 - 3  | 1.17e+09  | C+   |    |
       |                                 |              |    130.8    -  210266.04  |  5 - 5  | 5.25e+08  | C+   |    |
       |                                 |              |     48.7    -  210239.83  |  3 - 3  | 8.75e+08  | C+   |    |
       |                                 |              |    130.8    -  210239.83  |  5 - 3  | 5.83e+07  | C    |    |
       |                                 |              |                           |         |           |      |    |
    20 |                                 |   3P  - 3P*  |     88.9    -  210728.56  |  9 - 9  | 1.29e+09  |      |    |
       |                                 |              |                           |         |           |      |    |
       |                                 |              |    130.8    -  210705.26  |  5 - 5  | 9.66e+08  | C+   |    |
       |                                 |              |     48.7    -  210751.43  |  3 - 3  | 3.22e+08  | C+   |    |
       |                                 |              |    130.8    -  210751.43  |  5 - 3  | 5.37e+08  | C+   |    |
       |                                 |              |     48.7    -  210776.45  |  3 - 1  | 1.29e+09  | C+   |    |
       |                                 |              |     48.7    -  210705.26  |  3 - 5  | 3.22e+08  | C+   |    |
       |                                 |              |      0.0    -  210751.43  |  1 - 3  | 4.30e+08  | C+   |    |
       |                                 |              |                           |         |           |      |    |
    21 |        2s2.2p2 - 2s.2p2.(4P).3p |   3P  - 3D*  |     88.9    -  228752.32  |  9 - 15 | 7.97e+08  |      |    |
       |                                 |              |                           |         |           |      |    |
       |                                 |              |    130.8    -  228791.83  |  5 - 7  | 7.97e+08  | C+   |    |
       |                                 |              |     48.7    -  228731.81  |  3 - 5  | 5.98e+08  | C+   |    |
       |                                 |              |      0.0    -  228694.30  |  1 - 3  | 4.43e+08  | C+   |    |
       |                                 |              |    130.8    -  228731.81  |  5 - 5  | 1.99e+08  | C+   |    |
       |                                 |              |     48.7    -  228694.30  |  3 - 3  | 3.32e+08  | C+   |    |
       |                                 |              |    130.8    -  228694.30  |  5 - 3  | 2.21e+07  | D    |    |
       |                                 |              |                           |         |           |      |    |
    22 |        2s2.2p2 - 2s2.2p2        |   1D  - 1S   |  15316.2    -   32688.8   |  5 - 1  | 1.14e+00  | C    | E2 |
       |                                 |              |                           |         |           |      |    |
       |                                 |              |                           |         |           |      |    |
    23 |        2s2.2p2 - 2s.2p3         |   1D  - 5S*  |  15316.2    -   46784.6   |  5 - 5  | 9.33e-04  |      |    |
       |                                 |              |                           |         |           |      |    |
       |                                 |              |  15316.2    -   46784.6   |  5 - 5  | 9.33e-04  | D    |    |
       |                                 |              |                           |         |           |      |    |
    24 |                                 |   1D  - 3D*  |  15316.2    -   92244.5   |  5 - 15 | 2.28e+03  |      |    |
       |                                 |              |                           |         |           |      |    |
       |                                 |              |  15316.2    -   92237.2   |  5 - 7  | 4.14e+03  | D    |    |
       |                                 |              |  15316.2    -   92250.3   |  5 - 5  | 7.33e+02  | D    |    |
       |                                 |              |  15316.2    -   92251.8   |  5 - 3  | 5.20e+02  | C    |    |
       |                                 |              |                           |         |           |      |    |
    25 |                                 |   1D  - 3P*  |  15316.2    -  109217.2   |  5 - 9  | 3.00e+03  |      |    |
       |                                 |              |                           |         |           |      |    |
       |                                 |              |  15316.2    -  109217.6   |  5 - 5  | 2.30e+03  | C    |    |
       |                                 |              |  15316.2    -  109216.6   |  5 - 3  | 5.16e+03  | C    |    |
       |                                 |              |                           |         |           |      |    |
    26 |                                 |   1D  - 1D*  |  15316.2    -  144187.94  |  5 - 5  | 3.14e+09  | A    |    |
       |                                 |              |                           |         |           |      |    |
       |                                 |              |                           |         |           |      |    |
    27 |        2s2.2p2 - 2s2.2p.3s      |   1D  - 3P*  |  15316.2    -  149025.39  |  5 - 9  | 1.27e+08  |      |    |
       |                                 |              |                           |         |           |      |    |
       |                                 |              |  15316.2    -  149076.52  |  5 - 5  | 7.17e+03  | C+   |    |
       |                                 |              |  15316.2    -  148940.17  |  5 - 3  | 3.81e+08  | A    |    |
       |                                 |              |                           |         |           |      |    |
    28 |                                 |   1D  - 1P*  |  15316.2    -  149187.8   |  5 - 3  | 3.69e+09  | A    |    |
       |                                 |              |                           |         |           |      |    |
       |                                 |              |                           |         |           |      |    |
    29 |        2s2.2p2 - 2s.2p3         |   1D  - 3S*  |  15316.2    -  155126.73  |  5 - 3  | 1.06e+05  |      |    |
       |                                 |              |                           |         |           |      |    |
       |                                 |              |  15316.2    -  155126.73  |  5 - 3  | 1.06e+05  | B+   |    |
       |                                 |              |                           |         |           |      |    |
    30 |                                 |   1D  - 1P*  |  15316.2    -  166765.66  |  5 - 3  | 3.17e+09  | B+   |    |
       |                                 |              |                           |         |           |      |    |
       |                                 |              |                           |         |           |      |    |
