-----------------------------------------------------------------------
Configuration          | Term      |   J |                   Level    |
                       |           |   3 |             170858.8729    |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).6d  | 2[3/2]*   |   2 |             170862.9893    |
                       |           |   1 |             170867.923     |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).6d  | 2[5/2]*   |   2 |             170872.8524    |
                       |           |   3 |             170873.2327    |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).6f  | 2[3/2]    |   1 |             170875.7397    |
                       |           |   2 |             170875.7516    |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).6f  | 2[9/2]    |   4 |             170878.0021    |
                       |           |   5 |             170878.0047    |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).6g  | 2[5/2]*   |   2 |             170879.4716    |
                       |           |   3 |             170879.490     |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).6g  | 2[11/2]*  |   5 |             170880.2759    |
                       |           |   6 |             170880.2830    |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).6f  | 2[5/2]    |   3 |             170880.7022    |
                       |           |   2 |             170880.7114    |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).6g  | 2[7/2]*   |   4 |             170881.7588    |
                       |           |   3 |             170881.7732    |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).6g  | 2[9/2]*   |   4 |             170882.5960    |
                       |           |   5 |             170882.6023    |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).6f  | 2[7/2]    |   3 |             170883.0200    |
                       |           |   4 |             170883.0230    |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).7p  | 2[1/2]    |   1 |             171009.21      |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).7p  | 2[5/2]    |   3 |             171032.821     |
                       |           |   2 |             171043.69      |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).7p  | 2[3/2]    |   1 |             171058.0       |
                       |           |   2 |             171060.19      |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).7p  | 2[1/2]    |   0 |             171148.750     |
                       |           |     |                            |
2s2.2p5.(2P*<1/2>).7s  | 2[1/2]*   |   0 |             171312.8413    |
                       |           |   1 |             171324.0107    |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).8s  | 2[3/2]*   |   2 |             171473.311     |
                       |           |   1 |             171489.486     |
                       |           |     |                            |
2s2.2p5.(2P*<1/2>).6d  | 2[3/2]*   |   2 |             171639.9741    |
                       |           |     |                            |
2s2.2p5.(2P*<1/2>).6d  | 2[5/2]*   |   2 |             171642.1580    |
                       |           |   3 |             171642.4494    |
                       |           |     |                            |
2s2.2p5.(2P*<1/2>).6d  | 2[3/2]*   |   1 |             171644.882     |
                       |           |     |                            |
2s2.2p5.(2P*<1/2>).6f  | 2[5/2]    |   3 |             171659.7487    |
                       |           |   2 |             171659.7595    |
                       |           |     |                            |
2s2.2p5.(2P*<1/2>).6f  | 2[7/2]    |   3 |             171659.9337    |
                       |           |   4 |             171659.9376    |
                       |           |     |                            |
2s2.2p5.(2P*<1/2>).6g  | 2[7/2]*   |   4 |             171661.4853    |
                       |           |   3 |             171661.4969    |
                       |           |     |                            |
2s2.2p5.(2P*<1/2>).6g  | 2[9/2]*   |   4 |             171661.5046    |
                       |           |   5 |             171661.5131    |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).7d  | 2[1/2]*   |   0 |             171669.172     |
                       |           |   1 |             171671.928     |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).7d  | 2[7/2]*   |   4 |             171675.459     |
                       |           |   3 |             171675.728     |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).7d  | 2[3/2]*   |   2 |             171681.348     |
                       |           |   1 |             171682.914     |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).7d  | 2[5/2]*   |   2 |             171685.289     |
                       |           |   3 |             171685.542     |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).7f  | 2[3/2]    |   2 |             171686.567     |
                       |           |   1 |             171686.576     |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).7f  | 2[9/2]    |   5 |             171687.982     |
                       |           |   4 |             171687.986     |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).7g  | 2[5/2]*   |   2 |             171688.942     |
                       |           |   3 |             171688.945     |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).7g  | 2[11/2]*  |   5 |             171689.431     |
                       |           |   6 |             171689.438     |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).7f  | 2[5/2]    |   3 |             171690.028     |
                       |           |   2 |             171690.035     |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).7g  | 2[7/2]*   |   4 |             171690.464     |
                       |           |   3 |             171690.478     |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).7g  | 2[9/2]*   |   4 |             171690.963     |
                       |           |   5 |             171690.969     |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).7f  | 2[7/2]    |   3 |             171691.314     |
                       |           |   4 |             171691.331     |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).8p  | 2[1/2]    |   1 |             171752.24      |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).8p  | 2[5/2]    |   3 |             171787.0       |
                       |           |   2 |             171791.6       |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).8p  | 2[3/2]    |   1 |             171798.014     |
                       |           |   2 |             171803.2       |
                       |           |     |                            |
2s2.2p5.(2P*<1/2>).7p  | 2[3/2]    |   1 |             171822.233     |
                       |           |   2 |             171827.517     |
                       |           |     |                            |
2s2.2p5.(2P*<1/2>).7p  | 2[1/2]    |   1 |             171830.5       |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).8p  | 2[1/2]    |   0 |             171831.0       |
                       |           |     |                            |
2s2.2p5.(2P*<1/2>).7p  | 2[1/2]    |   0 |             171913.45      |
                       |           |     |                            |
