----------------------------------------------------------------------------------------------------------------------------------
 Mult. |           Configurations                 |     Terms    |       Ei           Ek       | gi   gk |    Aki    | Acc. |Type|
  No.  |                                          |              |     (cm-1)       (cm-1)     |         |    s^-1   |      |    |
       |                                          |              |                             |         |           |      |    |
----------------------------------------------------------------------------------------------------------------------------------
    15 |          2s2.2p4 - 2s2.2p3.(4S*).6d      |   3P  - 3D*  |     77.975   -  106765.803  |  9 - 15 | 1.66e+07  |      |    |
       |                                          |              |                             |         |           |      |    |
       |                                          |              |      0.000   -  106765.803  |  5 - 7  | 1.66e+07  | C+   |    |
       |                                          |              |    158.265   -  106765.803  |  3 - 5  | 1.24e+07  | C    |    |
       |                                          |              |    226.977   -  106765.803  |  1 - 3  | 9.16e+06  | C    |    |
       |                                          |              |      0.000   -  106765.803  |  5 - 5  | 4.15e+06  | C    |    |
       |                                          |              |    158.265   -  106765.803  |  3 - 3  | 6.88e+06  | C    |    |
       |                                          |              |      0.000   -  106765.803  |  5 - 3  | 4.61e+05  | D    |    |
       |                                          |              |                             |         |           |      |    |
    16 |          2s2.2p4 - 2s2.2p3.(4S*).8s      |   3P  - 3S*  |     77.975   -  107497.224  |  9 - 3  | 1.24e+07  |      |    |
       |                                          |              |                             |         |           |      |    |
       |                                          |              |      0.000   -  107497.224  |  5 - 3  | 6.90e+06  | C    |    |
       |                                          |              |    158.265   -  107497.224  |  3 - 3  | 4.12e+06  | C    |    |
       |                                          |              |    226.977   -  107497.224  |  1 - 3  | 1.37e+06  | D    |    |
       |                                          |              |                             |         |           |      |    |
    17 |          2s2.2p4 - 2s2.2p3.(4S*).7d      |   3P  - 3D*  |     77.975   -  107582.777  |  9 - 15 | 1.06e+07  |      |    |
       |                                          |              |                             |         |           |      |    |
       |                                          |              |      0.000   -  107582.777  |  5 - 7  | 1.06e+07  | C    |    |
       |                                          |              |    158.265   -  107582.777  |  3 - 5  | 7.95e+06  | C    |    |
       |                                          |              |    226.977   -  107582.777  |  1 - 3  | 5.88e+06  | C    |    |
