------------------------------------------------------------------------------------------------------------------------------------------------
 Mult. |                Configurations                  |        Terms       |        Ei           Ek        | gi   gk |    Aki    | Acc. |Type|
  No.  |                                                |                    |      (cm-1)       (cm-1)      |         |    s^-1   |      |    |
       |                                                |                    |                               |         |           |      |    |
------------------------------------------------------------------------------------------------------------------------------------------------
       |                                                |                    |                               |         |           |      |    |
       |                                                |                    |  95399.8276   -  117562.9553  |  3 - 1  | 1.18e+06  | C    |    |
       |                                                |                    |  94553.6652   -  116659.9934  |  1 - 3  | 8.98e+04  | C    |    |
       |                                                |                    |  95399.8276   -  116659.9934  |  3 - 3  | 1.09e+05  | C    |    |
       |                                                |                    |                               |         |           |      |    |
    27 |                                                |  2[1/2]* - 2[5/2]  |                               |         |           |      |    |
       |                                                |                    |                               |         |           |      |    |
       |                                                |                    |  95399.8276   -  116999.3259  |  3 - 5  | 3.83e+04  | C    |    |
       |                                                |                    |                               |         |           |      |    |
    28 |                                                |  2[1/2]* - 2[3/2]  |                               |         |           |      |    |
       |                                                |                    |                               |         |           |      |    |
       |                                                |                    |  95399.8276   -  117151.3264  |  3 - 3  | 9.47e+04  | C    |    |
       |                                                |                    |  94553.6652   -  117151.3264  |  1 - 3  | 7.3e+03   | D    |    |
       |                                                |                    |  95399.8276   -  117183.5901  |  3 - 5  | 6.2e+03   | D    |    |
       |                                                |                    |                               |         |           |      |    |
    29 | 3s2.3p5.(2P*<1/2>).4s - 3s2.3p5.(2P*<1/2>).5p  |  2[1/2]* - 2[3/2]  |                               |         |           |      |    |
       |                                                |                    |                               |         |           |      |    |
       |                                                |                    |  94553.6652   -  118407.4303  |  1 - 3  | 5.39e+05  | C    |    |
       |                                                |                    |  95399.8276   -  118469.0508  |  3 - 5  | 5.68e+05  | C    |    |
       |                                                |                    |  95399.8276   -  118407.4303  |  3 - 3  | 2.97e+05  | C    |    |
       |                                                |                    |                               |         |           |      |    |
    30 |                                                |  2[1/2]* - 2[1/2]  |                               |         |           |      |    |
       |                                                |                    |                               |         |           |      |    |
       |                                                |                    |  94553.6652   -  118459.5975  |  1 - 3  | 5.61e+05  | C    |    |
       |                                                |                    |  95399.8276   -  118870.9170  |  3 - 1  | 3.98e+06  | C    |    |
       |                                                |                    |  95399.8276   -  118459.5975  |  3 - 3  | 3.87e+05  | C    |    |
       |                                                |                    |                               |         |           |      |    |
    31 | 3s2.3p5.(2P*<1/2>).4s - 3s2.3p5.(2P*<3/2>).6p  |  2[1/2]* - 2[1/2]  |                               |         |           |      |    |
       |                                                |                    |                               |         |           |      |    |
       |                                                |                    |  94553.6652   -  121068.736   |  1 - 3  | 7.0e+04   | D    |    |
       |                                                |                    |  95399.8276   -  121470.238   |  3 - 1  | 7.5e+05   | D    |    |
       |                                                |                    |  95399.8276   -  121068.736   |  3 - 3  | 5.7e+04   | D    |    |
       |                                                |                    |                               |         |           |      |    |
    32 | 3s2.3p5.(2P*<1/2>).4s - 3s2.3p5.(2P*<1/2>).6p  |  2[1/2]* - 2[1/2]  |                               |         |           |      |    |
       |                                                |                    |                               |         |           |      |    |
