# eta f fd fdd g gd y p T rho u
0.901804 0.190976 0.428669 0.475705 1.607412 0.215588 0.000587 1013.000000 482.223482 0.007317 595.849952
0.911824 0.195296 0.433431 0.474852 1.609519 0.205045 0.000594 1013.000000 482.855686 0.007307 602.469605
0.921844 0.199662 0.438185 0.473967 1.611521 0.194540 0.000602 1013.000000 483.456254 0.007298 609.077150
0.931864 0.204077 0.442930 0.473049 1.613418 0.184076 0.000610 1013.000000 484.025307 0.007290 615.672139
0.941884 0.208539 0.447665 0.472099 1.615210 0.173656 0.000617 1013.000000 484.562970 0.007282 622.254123
0.951904 0.213048 0.452390 0.471117 1.616898 0.163282 0.000625 1013.000000 485.069377 0.007274 628.822655
0.961924 0.217605 0.457106 0.470103 1.618482 0.152955 0.000633 1013.000000 485.544671 0.007267 635.377284
0.971944 0.222208 0.461811 0.469057 1.619963 0.142679 0.000641 1013.000000 485.988998 0.007260 641.917565
0.981964 0.226859 0.466506 0.467978 1.621342 0.132456 0.000648 1013.000000 486.402514 0.007254 648.443048
0.991984 0.231557 0.471189 0.466868 1.622618 0.122288 0.000656 1013.000000 486.785381 0.007248 654.953288
1.002004 0.236302 0.475862 0.465725 1.623793 0.112177 0.000664 1013.000000 487.137769 0.007243 661.447838
1.012024 0.241093 0.480522 0.464551 1.624866 0.102127 0.000671 1013.000000 487.459854 0.007238 667.926254
1.022044 0.245932 0.485171 0.463345 1.625839 0.092138 0.000679 1013.000000 487.751818 0.007234 674.388091
1.032064 0.250816 0.489808 0.462107 1.626713 0.082214 0.000687 1013.000000 488.013853 0.007230 680.832907
1.042084 0.255747 0.494432 0.460837 1.627487 0.072356 0.000695 1013.000000 488.246155 0.007227 687.260261
1.052104 0.260725 0.499043 0.459536 1.628163 0.062567 0.000702 1013.000000 488.448926 0.007224 693.669713
1.062124 0.265748 0.503641 0.458204 1.628741 0.052849 0.000710 1013.000000 488.622378 0.007221 700.060825
1.072144 0.270818 0.508225 0.456840 1.629222 0.043203 0.000718 1013.000000 488.766726 0.007219 706.433162
1.082164 0.275933 0.512796 0.455445 1.629607 0.033634 0.000726 1013.000000 488.882194 0.007217 712.786289
1.092184 0.281094 0.517352 0.454020 1.629897 0.024141 0.000733 1013.000000 488.969010 0.007216 719.119775
1.102204 0.286301 0.521894 0.452563 1.630091 0.014728 0.000741 1013.000000 489.027411 0.007215 725.433191
1.112224 0.291553 0.526422 0.451076 1.630192 0.005396 0.000749 1013.000000 489.057637 0.007215 731.726109
1.122244 0.296850 0.530934 0.449559 1.630200 -0.003852 0.000757 1013.000000 489.059937 0.007215 737.998105
1.132265 0.302193 0.535431 0.448012 1.630115 -0.013015 0.000765 1013.000000 489.034565 0.007215 744.248759
1.142285 0.307580 0.539912 0.446434 1.629939 -0.022091 0.000772 1013.000000 488.981779 0.007216 750.477651
1.152305 0.313013 0.544377 0.444827 1.629673 -0.031077 0.000780 1013.000000 488.901845 0.007217 756.684367
1.162325 0.318490 0.548826 0.443191 1.629317 -0.039973 0.000788 1013.000000 488.795034 0.007219 762.868495
1.172345 0.324011 0.553259 0.441525 1.628872 -0.048775 0.000796 1013.000000 488.661622 0.007221 769.029625
1.182365 0.329577 0.557674 0.439830 1.628340 -0.057483 0.000803 1013.000000 488.501891 0.007223 775.167353
1.192385 0.335187 0.562073 0.438107 1.627720 -0.066095 0.000811 1013.000000 488.316127 0.007226 781.281278
1.202405 0.340841 0.566454 0.436355 1.627015 -0.074609 0.000819 1013.000000 488.104622 0.007229 787.371001
1.212425 0.346539 0.570817 0.434575 1.626226 -0.083024 0.000827 1013.000000 487.867674 0.007232 793.436130
1.222445 0.352280 0.575163 0.432768 1.625352 -0.091337 0.000834 1013.000000 487.605583 0.007236 799.476275
1.232465 0.358065 0.579490 0.430932 1.624396 -0.099547 0.000842 1013.000000 487.318657 0.007240 805.491050
1.242485 0.363893 0.583799 0.429070 1.623357 -0.107654 0.000850 1013.000000 487.007207 0.007245 811.480076
1.252505 0.369764 0.588088 0.427181 1.622238 -0.115654 0.000858 1013.000000 486.671547 0.007250 817.442975
1.262525 0.375678 0.592359 0.425265 1.621040 -0.123548 0.000865 1013.000000 486.311997 0.007255 823.379376
1.272545 0.381635 0.596611 0.423323 1.619763 -0.131334 0.000873 1013.000000 485.928881 0.007261 829.288912
1.282565 0.387634 0.600843 0.421355 1.618408 -0.139009 0.000881 1013.000000 485.522526 0.007267 835.171220
1.292585 0.393676 0.605055 0.419362 1.616978 -0.146574 0.000888 1013.000000 485.093265 0.007274 841.025945
1.302605 0.399760 0.609247 0.417344 1.615471 -0.154027 0.000896 1013.000000 484.641431 0.007280 846.852734
1.312625 0.405885 0.613418 0.415301 1.613891 -0.161367 0.000904 1013.000000 484.167364 0.007288 852.651240
1.322645 0.412052 0.617569 0.413234 1.612238 -0.168592 0.000911 1013.000000 483.671405 0.007295 858.421123
1.332665 0.418261 0.621699 0.411142 1.610513 -0.175702 0.000919 1013.000000 483.153900 0.007303 864.162045
1.342685 0.424511 0.625808 0.409028 1.608717 -0.182696 0.000927 1013.000000 482.615196 0.007311 869.873678
1.352705 0.430802 0.629896 0.406890 1.606852 -0.189573 0.000934 1013.000000 482.055644 0.007319 875.555696
1.362725 0.437134 0.633962 0.404729 1.604919 -0.196331 0.000942 1013.000000 481.475599 0.007328 881.207781
1.372745 0.443507 0.638007 0.402547 1.602918 -0.202971 0.000950 1013.000000 480.875415 0.007337 886.829619
1.382766 0.449920 0.642029 0.400342 1.600852 -0.209491 0.000957 1013.000000 480.255451 0.007347 892.420904
1.392786 0.456373 0.646030 0.398116 1.598720 -0.215891 0.000965 1013.000000 479.616068 0.007357 897.981335
1.402806 0.462866 0.650008 0.395869 1.596525 -0.222170 0.000973 1013.000000 478.957629 0.007367 903.510616
1.412826 0.469399 0.653963 0.393602 1.594268 -0.228328 0.000980 1013.000000 478.280498 0.007377 909.008461
1.422846 0.475972 0.657895 0.391315 1.591950 -0.234363 0.000988 1013.000000 477.585041 0.007388 914.474585
1.432866 0.482584 0.661805 0.389008 1.589572 -0.240276 0.000995 1013.000000 476.871625 0.007399 919.908714
1.442886 0.489234 0.665691 0.386681 1.587135 -0.246066 0.001003 1013.000000 476.140620 0.007410 925.310577
1.452906 0.495924 0.669554 0.384337 1.584641 -0.251732 0.001010 1013.000000 475.392397 0.007422 930.679913
1.462926 0.502652 0.673393 0.381974 1.582091 -0.257275 0.001018 1013.000000 474.627325 0.007434 936.016464
1.472946 0.509419 0.677209 0.379593 1.579486 -0.262694 0.001026 1013.000000 473.845778 0.007446 941.319981
1.482966 0.516223 0.681000 0.377195 1.576827 -0.267989 0.001033 1013.000000 473.048128 0.007459 946.590221
1.492986 0.523066 0.684768 0.374781 1.574116 -0.273159 0.001041 1013.000000 472.234748 0.007472 951.826949
1.503006 0.529946 0.688511 0.372350 1.571353 -0.278205 0.001048 1013.000000 471.406013 0.007485 957.029933
1.513026 0.536864 0.692229 0.369904 1.568541 -0.283127 0.001056 1013.000000 470.562296 0.007498 962.198953
1.523046 0.543818 0.695924 0.367442 1.565680 -0.287924 0.001063 1013.000000 469.703970 0.007512 967.333793
1.533066 0.550810 0.699593 0.364966 1.562771 -0.292598 0.001070 1013.000000 468.831411 0.007526 972.434243
1.543086 0.557838 0.703237 0.362475 1.559817 -0.297146 0.001078 1013.000000 467.944992 0.007540 977.500103
1.553106 0.564903 0.706857 0.359971 1.556817 -0.301571 0.001085 1013.000000 467.045085 0.007555 982.531177
1.563126 0.572004 0.710451 0.357453 1.553774 -0.305872 0.001093 1013.000000 466.132064 0.007570 987.527278
1.573146 0.579140 0.714020 0.354923 1.550688 -0.310049 0.001100 1013.000000 465.206301 0.007585 992.488225
1.583166 0.586312 0.717564 0.352380 1.547561 -0.314103 0.001107 1013.000000 464.268166 0.007600 997.413846
1.593186 0.593520 0.721082 0.349826 1.544393 -0.318034 0.001115 1013.000000 463.318030 0.007615 1002.303973
1.603206 0.600763 0.724574 0.347261 1.541188 -0.321842 0.001122 1013.000000 462.356262 0.007631 1007.158448
1.613226 0.608041 0.728041 0.344685 1.537944 -0.325529 0.001130 1013.000000 461.383229 0.007647 1011.977118
1.623246 0.615353 0.731482 0.342099 1.534664 -0.329093 0.001137 1013.000000 460.399298 0.007664 1016.759839
1.633267 0.622699 0.734897 0.339503 1.531349 -0.332537 0.001144 1013.000000 459.404834 0.007680 1021.506472
1.643287 0.630080 0.738286 0.336898 1.528001 -0.335860 0.001151 1013.000000 458.400199 0.007697 1026.216888
1.653307 0.637495 0.741648 0.334284 1.524619 -0.339064 0.001159 1013.000000 457.385754 0.007714 1030.890962
1.663327 0.644943 0.744985 0.331663 1.521206 -0.342148 0.001166 1013.000000 456.361860 0.007732 1035.528579
1.673347 0.652424 0.748295 0.329034 1.517763 -0.345113 0.001173 1013.000000 455.328873 0.007749 1040.129628
1.683367 0.659939 0.751578 0.326397 1.514290 -0.347961 0.001180 1013.000000 454.287148 0.007767 1044.694008
1.693387 0.667486 0.754836 0.323754 1.510790 -0.350693 0.001188 1013.000000 453.237038 0.007785 1049.221624
1.703407 0.675065 0.758066 0.321105 1.507263 -0.353308 0.001195 1013.000000 452.178892 0.007803 1053.712388
1.713427 0.682677 0.761271 0.318451 1.503710 -0.355807 0.001202 1013.000000 451.113060 0.007822 1058.166219
1.723447 0.690321 0.764448 0.315791 1.500133 -0.358193 0.001209 1013.000000 450.039885 0.007840 1062.583043
1.733467 0.697997 0.767599 0.313127 1.496532 -0.360465 0.001216 1013.000000 448.959710 0.007859 1066.962793
1.743487 0.705704 0.770723 0.310459 1.492910 -0.362624 0.001223 1013.000000 447.872874 0.007878 1071.305409
