-------------------------------------------------------------------------------------------------------------------------------------
 Mult. |             Configurations              |      Terms     |        Ei           Ek        | gi   gk |    Aki    | Acc. |Type|
  No.  |                                         |                |      (cm-1)       (cm-1)      |         |    s^-1   |      |    |
       |                                         |                |                               |         |           |      |    |
-------------------------------------------------------------------------------------------------------------------------------------
    30 |            3s2.3p5 - 3s2.3p4.(3P).6s    |    2P* - 2P    |                               |         |           |      |    |
       |                                         |                |                               |         |           |      |    |
       |                                         |                |   1431.5831   -  200623.7672  |  2 - 2  |           |      |    |
       |                                         |                |      0.0000   -  200032.2867  |  4 - 4  |           |      |    |
       |                                         |                |                               |         |           |      |    |
    31 |            3s2.3p5 - 3s2.3p4.(3P).5d    |    2P* - 4F    |                               |         |           |      |    |
       |                                         |                |                               |         |           |      |    |
       |                                         |                |      0.0000   -  201351.6169  |  4 - 6  |           |      |    |
       |                                         |                |                               |         |           |      |    |
    32 |                                         |    2P* - 4P    |                               |         |           |      |    |
       |                                         |                |                               |         |           |      |    |
       |                                         |                |      0.0000   -  201345.2925  |  4 - 4  |           |      |    |
       |                                         |                |                               |         |           |      |    |
    33 |                                         |    2P* - 2F    |      0        -  202155.9425  |  6 - 14 |           |      |    |
       |                                         |                |                               |         |           |      |    |
       |                                         |                |      0.0000   -  202155.9425  |  4 - 6  |           |      |    |
       |                                         |                |                               |         |           |      |    |
    34 |                                         |    2P* - 2D    |                               |         |           |      |    |
       |                                         |                |                               |         |           |      |    |
       |                                         |                |      0.0000   -  204417.2985  |  4 - 4  |           |      |    |
       |                                         |                |      0.0000   -  204585.664   |  4 - 6  |           |      |    |
       |                                         |                |                               |         |           |      |    |
    35 |                                         |    2P* - 2P    |    477.1944   -  204986.025   |  6 - 6  |           |      |    |
       |                                         |                |                               |         |           |      |    |
       |                                         |                |   1431.5831   -  204515.050   |  2 - 2  |           |      |    |
       |                                         |                |   1431.5831   -  205221.512   |  2 - 4  |           |      |    |
       |                                         |                |      0.0000   -  204515.050   |  4 - 2  |           |      |    |
       |                                         |                |      0.0000   -  205221.512   |  4 - 4  |           |      |    |
       |                                         |                |                               |         |           |      |    |
    36 |            3s2.3p5 - 3s2.3p4.(1D).4d    |    2P* - 2S    |                               |         |           |      |    |
       |                                         |                |                               |         |           |      |    |
       |                                         |                |      0.0000   -  205243.0497  |  4 - 2  |           |      |    |
       |                                         |                |                               |         |           |      |    |
    37 |            3s2.3p5 - 3s2.3p4.(1D).5d    |    2P* - 2S    |    477.1944   -  216882.15    |  6 - 2  |           |      |    |
       |                                         |                |                               |         |           |      |    |
       |                                         |                |   1431.5831   -  216882.15    |  2 - 2  |           |      |    |
       |                                         |                |      0.0000   -  216882.15    |  4 - 2  |           |      |    |
       |                                         |                |                               |         |           |      |    |
    38 |             3s.3p6 - 3s2.3p4.(3P).4p    |    2S  - 4P*   |                               |         |           |      |    |
       |                                         |                |                               |         |           |      |    |
       |                                         |                | 108721.537    -  155351.1206  |  2 - 4  |           |      |    |
       |                                         |                |                               |         |           |      |    |
    39 |                                         |    2S  - 4D*   |                               |         |           |      |    |
       |                                         |                |                               |         |           |      |    |
       |                                         |                | 108721.537    -  158167.7999  |  2 - 4  |           |      |    |
       |                                         |                |                               |         |           |      |    |
    40 |                                         |    2S  - 2D*   | 108721.537    -  159393.385   |  2 - 10 |           |      |    |
       |                                         |                |                               |         |           |      |    |
       |                                         |                | 108721.537    -  159393.3850  |  2 - 4  |           |      |    |
       |                                         |                |                               |         |           |      |    |
    41 |                                         |    2S  - 2P*   | 108721.537    -  160061.7966  |  2 - 6  |           |      |    |
       |                                         |                |                               |         |           |      |    |
       |                                         |                | 108721.537    -  159706.5337  |  2 - 2  |           |      |    |
       |                                         |                | 108721.537    -  160239.4280  |  2 - 4  |           |      |    |
       |                                         |                |                               |         |           |      |    |
    42 |                                         |    2S  - 4S*   | 108721.537    -  161048.7411  |  2 - 4  |           |      |    |
       |                                         |                |                               |         |           |      |    |
       |                                         |                | 108721.537    -  161048.7411  |  2 - 4  |           |      |    |
       |                                         |                |                               |         |           |      |    |
    43 |                                         |    2S  - 2S*   | 108721.537    -  161089.3846  |  2 - 2  |           |      |    |
       |                                         |                |                               |         |           |      |    |
       |                                         |                | 108721.537    -  161089.3846  |  2 - 2  |           |      |    |
       |                                         |                |                               |         |           |      |    |
    44 |             3s.3p6 - 3s2.3p4.(1D).4p    |    2S  - 2P*   | 108721.537    -  172414.6841  |  2 - 6  |           |      |    |
       |                                         |                |                               |         |           |      |    |
       |                                         |                | 108721.537    -  172213.8798  |  2 - 4  |           |      |    |
       |                                         |                | 108721.537    -  172816.2926  |  2 - 2  |           |      |    |
       |                                         |                |                               |         |           |      |    |
    45 |                                         |    2S  - 2D*   | 108721.537    -  173347.9158  |  2 - 10 |           |      |    |
       |                                         |                |                               |         |           |      |    |
       |                                         |                | 108721.537    -  173347.9158  |  2 - 4  |           |      |    |
       |                                         |                |                               |         |           |      |    |
    46 |    3s2.3p4.(3P).3d - 3s2.3p4.(3P).4p    |    4D  - 4P*   | 132475.2226   -  155256.6391  | 20 - 12 | 4.2e+07   |      |    |
       |                                         |                |                               |         |           |      |    |
       |                                         |                | 132630.7277   -  155708.1075  |  4 - 2  | 1.92e+07  | B+   |    |
       |                                         |                | 132737.7039   -  155708.1075  |  2 - 2  | 2.12e+07  | B    |    |
       |                                         |                | 132481.2068   -  155351.1206  |  6 - 4  | 2.21e+07  | B    |    |
       |                                         |                | 132630.7277   -  155351.1206  |  4 - 4  | 1.60e+07  | B    |    |
       |                                         |                | 132327.3616   -  155043.1619  |  8 - 6  | 3.04e+07  | B    |    |
       |                                         |                | 132737.7039   -  155351.1206  |  2 - 4  | 3.1e+06   | B    |    |
       |                                         |                | 132481.2068   -  155043.1619  |  6 - 6  | 1.09e+07  | B    |    |
       |                                         |                | 132630.7277   -  155043.1619  |  4 - 6  | 1.5e+06   | B+   |    |
       |                                         |                |                               |         |           |      |    |
    47 |                                         |    4D  - 4D*   | 132475.2226   -  157672.0027  | 20 - 20 | 1.1e+07   |      |    |
       |                                         |                |                               |         |           |      |    |
       |                                         |                | 132630.7277   -  158428.1087  |  4 - 2  | 8.2e+06   | B    |    |
       |                                         |                | 132737.7039   -  158428.1087  |  2 - 2  | 4.3e+06   | B    |    |
       |                                         |                | 132481.2068   -  158167.7999  |  6 - 4  | 6.3e+06   | C    |    |
       |                                         |                | 132630.7277   -  158167.7999  |  4 - 4  | 3.7e+06   | B    |    |
       |                                         |                | 132737.7039   -  158167.7999  |  2 - 4  | 2.0e+06   | B    |    |
       |                                         |                | 132327.3616   -  157673.4134  |  8 - 6  | 4.1e+06   | B    |    |
       |                                         |                | 132481.2068   -  157673.4134  |  6 - 6  | 4.8e+06   | B    |    |
       |                                         |                | 132630.7277   -  157673.4134  |  4 - 6  | 1.6e+06   | B    |    |
       |                                         |                | 132327.3616   -  157234.0196  |  8 - 8  | 1.05e+07  | A    |    |
       |                                         |                | 132481.2068   -  157234.0196  |  6 - 8  | 1.2e+06   | B    |    |
       |                                         |                |                               |         |           |      |    |
    48 |                                         |    4D  - 2D*   | 132475.2226   -  158995.5337  | 20 - 10 | 2.e+06    |      |    |
       |                                         |                |                               |         |           |      |    |
       |                                         |                | 132481.2068   -  159393.3850  |  6 - 4  | 2.e+05    | D    |    |
