# x(m) s(m) tau_w(Pa) Cf Cf_blasius y_plus p(Pa) Cp q(W/m**2) Ch
0.027605 0.027605 24.342230 0.010410 0.008003 0.130676 78.143293 0.019785 25585.844186 0.004749
0.028068 0.028068 24.092524 0.010303 0.007936 0.130656 77.725040 0.019606 25321.616772 0.004700
0.028535 0.028535 23.847465 0.010198 0.007871 0.130644 77.312703 0.019429 25062.497117 0.004652
0.029006 0.029006 23.606904 0.010096 0.007807 0.130639 76.906134 0.019255 24809.150417 0.004605
0.029479 0.029479 23.371795 0.009995 0.007744 0.130645 76.505280 0.019084 24559.761151 0.004559
0.029957 0.029957 23.139951 0.009896 0.007682 0.130655 76.109964 0.018915 24316.900936 0.004514
0.030437 0.030437 22.914166 0.009799 0.007621 0.130678 75.720132 0.018748 24076.292096 0.004469
0.030921 0.030921 22.690759 0.009704 0.007561 0.130702 75.335595 0.018584 23843.903369 0.004426
0.031408 0.031408 22.473457 0.009611 0.007503 0.130740 74.956277 0.018422 23610.686748 0.004382
0.031899 0.031899 22.258648 0.009519 0.007445 0.130779 74.582055 0.018262 23389.442206 0.004341
0.032393 0.032393 22.048300 0.009429 0.007388 0.130830 74.212690 0.018104 23161.339879 0.004299
0.032890 0.032890 21.843455 0.009341 0.007332 0.130888 73.848418 0.017948 22953.259472 0.004260
0.033391 0.033391 21.636733 0.009253 0.007276 0.130943 73.488129 0.017794 22726.165300 0.004218
0.033895 0.033895 21.446643 0.009172 0.007222 0.131033 73.133536 0.017642 22535.876967 0.004183
0.034402 0.034402 21.235879 0.009082 0.007169 0.131067 72.777245 0.017490 22301.453040 0.004139
0.034913 0.034913 21.080840 0.009015 0.007116 0.131246 72.428293 0.017341 22142.438141 0.004110
0.035427 0.035427 20.848803 0.008916 0.007064 0.131177 72.037286 0.017173 21881.402808 0.004061
0.035945 0.035945 20.718963 0.008860 0.007013 0.131407 71.687262 0.017024 21765.658404 0.004040
0.036465 0.036465 20.471744 0.008755 0.006963 0.131354 71.384130 0.016894 21500.010946 0.003991
0.036990 0.036990 20.324639 0.008692 0.006913 0.131554 71.064247 0.016757 21359.187888 0.003965
0.037517 0.037517 20.131317 0.008609 0.006865 0.131630 70.747395 0.016622 21141.009637 0.003924
0.038048 0.038048 19.966603 0.008539 0.006817 0.131771 70.431518 0.016487 20981.815960 0.003894
0.038582 0.038582 19.792762 0.008464 0.006769 0.131892 70.119426 0.016353 20787.779542 0.003858
0.039120 0.039120 19.626670 0.008393 0.006722 0.132024 69.810383 0.016221 20622.672115 0.003828
0.039661 0.039661 19.462531 0.008323 0.006676 0.132165 69.504915 0.016090 20442.806105 0.003794
0.040205 0.040205 19.299835 0.008254 0.006631 0.132303 69.202824 0.015961 20277.819481 0.003764
0.040753 0.040753 19.141985 0.008186 0.006586 0.132456 68.904239 0.015833 20107.440352 0.003732
