---------------------------------------------------------------------------------------------------------------------------------------
 Mult. |             Configurations              |      Terms     |         Ei           Ek         | gi   gk |    Aki    | Acc. |Type|
  No.  |                                         |                |       (cm-1)       (cm-1)       |         |    s^-1   |      |    |
       |                                         |                |                                 |         |           |      |    |
---------------------------------------------------------------------------------------------------------------------------------------
    19 |            2s2.2p3 - 2s.2p4             |    2D* - 4P    |                                 |         |           |      |    |
       |                                         |                |                                 |         |           |      |    |
       |                                         |                |  26810.55      -  119837.21     |  6 - 6  |           |      |    |
       |                                         |                |                                 |         |           |      |    |
    20 |                                         |    2D* - 2D    |  26818.56      -  165991.68     | 10 - 10 | 2.04e+09  |      |    |
       |                                         |                |                                 |         |           |      |    |
       |                                         |                |  26810.55      -  165996.50     |  6 - 4  | 2.01e+08  | B    |    |
       |                                         |                |  26810.55      -  165988.46     |  6 - 6  | 1.90e+09  | B    |    |
       |                                         |                |  26830.57      -  165996.50     |  4 - 4  | 1.85e+09  | B    |    |
       |                                         |                |  26830.57      -  165988.46     |  4 - 6  | 1.30e+08  | B    |    |
       |                                         |                |                                 |         |           |      |    |
    21 |            2s2.2p3 - 2s2.2p2.(3P).3s    |    2D* - 2P    |  26818.56      -  189008.524    | 10 - 6  | 3.43e+09  |      |    |
       |                                         |                |                                 |         |           |      |    |
       |                                         |                |  26810.55      -  189068.514    |  6 - 4  | 3.11e+09  | B    |    |
       |                                         |                |  26830.57      -  189068.514    |  4 - 4  | 3.24e+08  | B    |    |
       |                                         |                |  26830.57      -  188888.543    |  4 - 2  | 3.43e+09  | B    |    |
       |                                         |                |                                 |         |           |      |    |
    22 |            2s2.2p3 - 2s2.2p2.(1D).3s    |    2D* - 2D    |  26818.56      -  206972.1      | 10 - 10 | 1.11e+09  |      |    |
       |                                         |                |                                 |         |           |      |    |
       |                                         |                |  26810.55      -  206972.72     |  6 - 4  | 9.67e+07  | B    |    |
       |                                         |                |  26810.55      -  206971.68     |  6 - 6  | 1.04e+09  | B    |    |
       |                                         |                |  26830.57      -  206972.72     |  4 - 4  | 1.01e+09  | B    |    |
       |                                         |                |  26830.57      -  206971.68     |  4 - 6  | 8.01e+07  | B    |    |
       |                                         |                |                                 |         |           |      |    |
    23 |            2s2.2p3 - 2s.2p4             |    2D* - 2P    |  26818.56      -  212649.96     | 10 - 6  | 5.75e+09  |      |    |
       |                                         |                |                                 |         |           |      |    |
       |                                         |                |  26830.57      -  212762.25     |  4 - 2  | 5.73e+09  | B+   |    |
       |                                         |                |  26810.55      -  212593.82     |  6 - 4  | 5.18e+09  | B+   |    |
       |                                         |                |  26830.57      -  212593.82     |  4 - 4  | 5.87e+08  | B+   |    |
       |                                         |                |                                 |         |           |      |    |
    24 |            2s2.2p3 - 2s2.2p2.(3P).3d    |    2D* - 4F    |                                 |         |           |      |    |
       |                                         |                |                                 |         |           |      |    |
       |                                         |                |  26810.55      -  231427.970    |  6 - 8  | 3.28e+06  | C    |    |
       |                                         |                |  26830.57      -  231350.087    |  4 - 6  | 2.43e+06  | C    |    |
       |                                         |                |                                 |         |           |      |    |
    25 |                                         |    2D* - 4P    |                                 |         |           |      |    |
       |                                         |                |                                 |         |           |      |    |
       |                                         |                |  26810.55      -  232535.949    |  6 - 4  | 4.50e+06  | C    |    |
       |                                         |                |  26830.57      -  232602.492    |  4 - 2  | 3.10e+06  | C    |    |
       |                                         |                |  26830.57      -  232462.724    |  4 - 6  | 3.53e+06  | C    |    |
       |                                         |                |                                 |         |           |      |    |
    26 |                                         |    2D* - 4D    |  26818.56      -  232746.155    | 10 - 20 | 2.57e+08  |      |    |
       |                                         |                |                                 |         |           |      |    |
       |                                         |                |  26810.55      -  232753.816    |  6 - 8  | 1.52e+08  | C    |    |
       |                                         |                |  26810.55      -  232747.562    |  6 - 6  | 3.30e+07  | C    |    |
       |                                         |                |  26810.55      -  232745.981    |  6 - 4  | 4.09e+06  | C    |    |
       |                                         |                |  26830.57      -  232747.562    |  4 - 6  | 6.15e+08  | C    |    |
       |                                         |                |  26830.57      -  232745.981    |  4 - 4  |           |      |    |
       |                                         |                |  26830.57      -  232711.642    |  4 - 2  | 8.13e+06  | C    |    |
       |                                         |                |                                 |         |           |      |    |
    27 |                                         |    2D* - 2F    |  26818.56      -  232889.391    | 10 - 14 | 2.36e+09  |      |    |
       |                                         |                |                                 |         |           |      |    |
       |                                         |                |  26810.55      -  232959.210    |  6 - 8  | 2.60e+09  | B    |    |
       |                                         |                |  26810.55      -  232796.298    |  6 - 6  | 1.20e+08  | C    |    |
       |                                         |                |  26830.57      -  232796.298    |  4 - 6  | 1.93e+09  | C+   |    |
       |                                         |                |                                 |         |           |      |    |
    28 |                                         |    2D* - 2P    |  26818.56      -  233468.55     | 10 - 6  | 2.10e+09  |      |    |
       |                                         |                |                                 |         |           |      |    |
       |                                         |                |  26830.57      -  233544.59     |  4 - 2  | 2.05e+09  | B    |    |
       |                                         |                |  26810.55      -  233430.53     |  6 - 4  | 1.80e+09  | B    |    |
       |                                         |                |  26830.57      -  233430.53     |  4 - 4  | 3.22e+08  | C    |    |
       |                                         |                |                                 |         |           |      |    |
    29 |                                         |    2D* - 2D    |  26818.56      -  234433.899    | 10 - 10 | 7.84e+08  |      |    |
       |                                         |                |                                 |         |           |      |    |
       |                                         |                |  26810.55      -  234454.634    |  6 - 6  | 7.60e+08  | B    |    |
       |                                         |                |  26830.57      -  234454.634    |  4 - 6  | 3.75e+07  | C    |    |
       |                                         |                |  26810.55      -  234402.797    |  6 - 4  | 1.65e+08  | C    |    |
       |                                         |                |  26830.57      -  234402.797    |  4 - 4  | 6.00e+08  | B    |    |
       |                                         |                |                                 |         |           |      |    |
