---------------------------------------------------------------
Configuration      | Term   |    J |                 Level    |
2s2.2p2.(3P).5f F  | 2[3]*  |  7/2 |            265992.31     |
                   |        |      |                          |
2s2.2p2.(3P<2>).5g | 2[6]   | 13/2 |            265992.34     |
                   |        |      |                          |
2s2.2p2.(3P).5f F  | 2[3]*  |  5/2 |            265992.37     |
                   |        |      |                          |
2s2.2p2.(3P).5f F  | 2[4]*  |  9/2 |            265999.75     |
                   |        |  7/2 |            266004.90     |
                   |        |      |                          |
2s2.2p2.(3P<2>).5g | 2[3]   |  5/2 |            266007.60     |
                   |        |  7/2 |            266007.72     |
                   |        |      |                          |
2s2.2p2.(3P<2>).5g | 2[4]   |  7/2 |            266022.90     |
                   |        |  9/2 |            266022.90     |
                   |        |      |                          |
2s2.2p2.(3P<2>).5g | 2[5]   |  9/2 |            266024.16     |
                   |        | 11/2 |            266024.16     |
                   |        |      |                          |
2s2.2p2.(1D).4p    | 2F*    |  5/2 |            266579.73     |
                   |        |  7/2 |            266588.33     |
                   |        |      |                          |
2s2.2p2.(1D).4p    | 2D*    |  3/2 |            266624.32     |
                   |        |  5/2 |            266640.58     |
                   |        |      |                          |
2s2.2p2.(3P).6s    | 4P     |  1/2 |            266698.0      |
                   |        |  3/2 |            266802.0      |
                   |        |  5/2 |            266971.23     |
                   |        |      |                          |
2s2.2p2.(3P).6s    | 2P     |  1/2 |            267101.1      |
                   |        |  3/2 |            267298.23     |
                   |        |      |                          |
2s2.2p2.(1D).4p    | 2P*    |  1/2 |            267460.28     |
                   |        |  3/2 |            267490.79     |
                   |        |      |                          |
2s.2p3.(5S*).3p    | 6P     |  3/2 |            267768.20    |
                   |        |  5/2 |            267775.48    |
                   |        |  7/2 |            267788.09    |
                   |        |      |                          |
2s2.2p2.(3P).6p    | 2S*    |  1/2 |            268369.8      |
                   |        |      |                          |
2s2.2p2.(3P).6p    | 4D*    |  3/2 |            268465.6      |
                   |        |  5/2 |            268547.50     |
                   |        |  7/2 |            268692.1      |
                   |        |      |                          |
2s2.2p2.(3P).6p    | 4P*    |  5/2 |            268782.5      |
                   |        |      |                          |
2s2.2p2.(3P<0>).6g | 2[4]   |  7/2 |            271068.35     |
                   |        |  9/2 |            271068.39     |
                   |        |      |                          |
2s2.2p2.(3P<1>).6g | 2[4]   |  7/2 |            271171.85     |
                   |        |  9/2 |            271171.85     |
                   |        |      |                          |
2s2.2p2.(3P<1>).6g | 2[5]   |  9/2 |            271184.87     |
                   |        | 11/2 |            271185.08     |
                   |        |      |                          |
2s2.2p2.(3P<1>).6g | 2[3]   |  5/2 |            271187.92     |
                   |        |  7/2 |            271188.04     |
                   |        |      |                          |
2s2.2p2.(3P<2>).6g | 2[2]   |  3/2 |            271360.61     |
                   |        |  5/2 |            271360.61     |
                   |        |      |                          |
2s2.2p2.(3P<2>).6g | 2[6]   | 11/2 |            271367.70     |
                   |        | 13/2 |            271367.79     |
                   |        |      |                          |
2s2.2p2.(3P<2>).6g | 2[3]   |  7/2 |            271375.48     |
                   |        |  5/2 |            271375.61     |
                   |        |      |                          |
2s2.2p2.(3P<2>).6g | 2[4]   |  7/2 |            271384.65     |
                   |        |  9/2 |            271384.80     |
                   |        |      |                          |
2s2.2p2.(3P<2>).6g | 2[5]   |  9/2 |            271385.06     |
                   |        | 11/2 |            271385.39     |
                   |        |      |                          |
2s2.2p2.(3P).7p    | 4D*    |  3/2 |            272728.4      |
                   |        |  5/2 |            272787.7      |
                   |        |  7/2 |            272968.4      |
                   |        |      |                          |
2s2.2p2.(3P).7p    | 4P*    |  5/2 |            273018.7      |
                   |        |      |                          |
2s2.2p2.(1D).4d    | 2F     |  5/2 |            274740.7      |
                   |        |  7/2 |            274781.5      |
                   |        |      |                          |
2s2.2p2.(1D).4d    | 2D     |  3/2 |            274916.0      |
                   |        |  5/2 |            274928.0      |
                   |        |      |                          |
2s2.2p2.(1D).4d    | 2P     |  3/2 |            275611.1      |
                   |        |      |                          |
2s2.2p2.(1D).4f G  | 2[4]*  |  7/2 |            275842.14     |
                   |        |  9/2 |            275842.14     |
                   |        |      |                          |
2s2.2p2.(1D).4f F  | 2[3]*  |  5/2 |            275881.65     |
                   |        |  7/2 |            275881.65     |
                   |        |      |                          |
2s2.2p2.(1S).3d    | 2D     |  3/2 |            275983.95     |
                   |        |      |                          |
2s2.2p2.(1D).4d    | 2S     |  1/2 |            275996.5      |
                   |        |      |                          |
2s2.2p2.(1D).4f D  | 2[2]*  |  3/2 |            276066.81     |
                   |        |  5/2 |            276066.88     |
                   |        |      |                          |
2s2.2p2.(1S).3d    | 2D     |  5/2 |            276075.32     |
                   |        |      |                          |
2s2.2p2.(1D).4f H  | 2[5]*  |  9/2 |            276109.46     |
                   |        | 11/2 |            276109.54     |
                   |        |      |                          |
2s2.2p2.(1D).4f P  | 2[1]*  |  1/2 |            276263.81     |
                   |        |  3/2 |            276263.81     |
                   |        |      |                          |
2s2.2p2.(1D).5s    | 2D     |  3/2 |            278144.33     |
                   |        |  5/2 |            278144.62     |
                   |        |      |                          |
2s2.2p2.(1S).4s    | 2S     |  1/2 |            282219.90     |
-------------------|--------|------|--------------------------|
                   |        |      |                          |
O III (2p2 3P<0>)  | Limit  |  --- |         283270.9(5)      |
-------------------|--------|------|--------------------------|
                   |        |      |                          |
O III (2p2 3P<1>)  | Limit  |  --- |            283384.1      |
-------------------|--------|------|--------------------------|
                   |        |      |                          |
O III (2p2 3P<2>)  | Limit  |  --- |            283577.1      |
                   |        |      |                          |
2s2.2p2.(1D).5f G  | 2[4]*  |  9/2 |            285838.51     |
                   |        |      |                          |
2s2.2p2.(1D).5f F  | 2[3]*  |  7/2 |            285861.74     |
                   |        |      |                          |
2s2.2p2.(1D<2>).5g | 2[5]   | 11/2 |            285939.05     |
                   |        |  9/2 |            285939.05     |
                   |        |      |                          |
2s2.2p2.(1D<2>).5g | 2[4]   |  7/2 |            285941.34     |
                   |        |  9/2 |            285941.34     |
                   |        |      |                          |
2s2.2p2.(1D).5f D  | 2[2]*  |  5/2 |            285959.69     |
                   |        |      |                          |
2s2.2p2.(1D).5f H  | 2[5]*  | 11/2 |            285978.5      |
                   |        |  9/2 |            285978.5      |
                   |        |      |                          |
2s2.2p2.(1D<2>).5g | 2[6]   | 13/2 |            286000.31     |
                   |        | 11/2 |            286000.31     |
                   |        |      |                          |
2s2.2p2.(1D).5f P  | 2[1]*  |  3/2 |            286055.28     |
                   |        |      |                          |
2s2.2p2.(1D).6s    | 2D     |  3/2 |            287045.6      |
                   |        |  5/2 |            287047.1      |
                   |        |      |                          |
2s2.2p2.(1S).4p    | 2P*    |  1/2 |            289990.7      |
                   |        |  3/2 |            290000.3      |
                   |        |      |                          |
2s2.2p2.(1D<2>).6g | 2[5]   |  9/2 |            291323.00     |
                   |        | 11/2 |            291323.00     |
                   |        |      |                          |
2s2.2p2.(1D<2>).6g | 2[4]   |  7/2 |            291324.04     |
                   |        |  9/2 |            291324.04     |
                   |        |      |                          |
2s2.2p2.(1D<2>).6g | 2[6]   | 11/2 |            291358.34     |
                   |        | 13/2 |            291358.34     |
                   |        |      |                          |
2s.2p3.(5S*).3d    | 6D*    |  9/2 |            291900.48    |
                   |        |  7/2 |            291901.47    |
                   |        |  5/2 |            291902.73    |
                   |        |  3/2 |            291903.91    |
                   |        |  1/2 |            291904.71    |
                   |        |      |                          |
2s.2p3.(5S*).4s    | 6S*    |  5/2 |            298855.04    |
-------------------|--------|------|--------------------------|
                   |        |      |                          |
O III (2p2 1D<2>)  | Limit  |  --- |            303544.2      |
-------------------|--------|------|--------------------------|
                   |        |      |                          |
O III (2p2 1S<0>)  | Limit  |  --- |            326456.6      |
---------------------------------------------------------------
