#x(m)	y(m)	z(m)	du(m/s)	dy(m)	rho(kg/m^3)	mu(N.s/m^2)	tau_w(N/m^2)	y_plus 
2.137674e-02	1.702397e-02	0.000000	970.207434	2.107586e-05	3.555257e+00	4.541448e-05	2090.613	40.009509 
2.181193e-02	1.711639e-02	0.000000	971.060692	2.119028e-05	3.504163e+00	4.526872e-05	2074.474	39.910261 
2.225080e-02	1.720959e-02	0.000000	971.931280	2.130566e-05	3.452890e+00	4.512304e-05	2058.443	39.806822 
2.269339e-02	1.730359e-02	0.000000	972.832356	2.142203e-05	3.401325e+00	4.497709e-05	2042.532	39.698825 
2.313970e-02	1.739837e-02	0.000000	973.764048	2.153937e-05	3.349474e+00	4.483085e-05	2026.739	39.586140 
2.358977e-02	1.749395e-02	0.000000	974.723115	2.165770e-05	3.297360e+00	4.468435e-05	2011.057	39.468653 
2.404363e-02	1.759033e-02	0.000000	975.677211	2.177703e-05	3.245263e+00	4.453835e-05	1995.454	39.346873 
2.450128e-02	1.768753e-02	0.000000	976.590240	2.189735e-05	3.193463e+00	4.439365e-05	1979.893	39.221347 
2.496277e-02	1.778553e-02	0.000000	977.445150	2.201868e-05	3.142112e+00	4.425068e-05	1964.360	39.092434 
2.542810e-02	1.788436e-02	0.000000	978.220776	2.214103e-05	3.091327e+00	4.409697e-05	1948.264	38.965963 
2.589731e-02	1.798400e-02	0.000000	978.915678	2.226439e-05	3.041237e+00	4.394515e-05	1932.170	38.837183 
2.637043e-02	1.808448e-02	0.000000	979.506599	2.238878e-05	2.991858e+00	4.379588e-05	1916.065	38.705507 
2.684747e-02	1.818579e-02	0.000000	980.031865	2.251420e-05	2.943138e+00	4.364914e-05	1900.025	38.571441 
2.732846e-02	1.828793e-02	0.000000	980.451002	2.264066e-05	2.895046e+00	4.350442e-05	1883.953	38.434263 
2.781342e-02	1.839092e-02	0.000000	980.840218	2.276816e-05	2.847464e+00	4.336205e-05	1868.014	38.294587 
2.830238e-02	1.849476e-02	0.000000	981.115802	2.289672e-05	2.800429e+00	4.322053e-05	1851.983	38.151709 
2.879536e-02	1.859946e-02	0.000000	981.390002	2.302633e-05	2.753647e+00	4.308106e-05	1836.129	38.005297 
2.929239e-02	1.870501e-02	0.000000	981.592677	2.315701e-05	2.707334e+00	4.294277e-05	1820.283	37.855829 
2.979348e-02	1.881143e-02	0.000000	981.777390	2.328875e-05	2.661317e+00	4.280538e-05	1804.534	37.703250 
3.029867e-02	1.891872e-02	0.000000	981.899601	2.342158e-05	2.615611e+00	4.266895e-05	1788.804	37.546739 
3.080798e-02	1.902688e-02	0.000000	982.008668	2.355548e-05	2.570221e+00	4.253346e-05	1773.185	37.387251 
3.132143e-02	1.913592e-02	0.000000	982.048629	2.369048e-05	2.525197e+00	4.239909e-05	1757.583	37.223975 
3.183905e-02	1.924585e-02	0.000000	982.027070	2.382657e-05	2.480576e+00	4.226594e-05	1742.017	37.057274 
3.236086e-02	1.935666e-02	0.000000	981.953756	2.396376e-05	2.436455e+00	4.213436e-05	1726.523	36.887905 
3.288688e-02	1.946837e-02	0.000000	981.811140	2.410206e-05	2.392835e+00	4.200432e-05	1711.070	36.715585 
3.341714e-02	1.958098e-02	0.000000	981.581906	2.424147e-05	2.349847e+00	4.187633e-05	1695.650	36.540815 
3.395166e-02	1.969450e-02	0.000000	981.261652	2.438200e-05	2.307490e+00	4.175036e-05	1680.257	36.363604 
3.449046e-02	1.980893e-02	0.000000	980.843458	2.452367e-05	2.265796e+00	4.162651e-05	1664.885	36.184117 
3.503358e-02	1.992427e-02	0.000000	980.315720	2.466646e-05	2.224850e+00	4.150511e-05	1649.532	36.002769 
3.558102e-02	2.004053e-02	0.000000	979.676959	2.481039e-05	2.184653e+00	4.138615e-05	1634.197	35.819699 
3.613283e-02	2.015771e-02	0.000000	978.933445	2.495547e-05	2.145155e+00	4.126940e-05	1618.884	35.634832 
3.668901e-02	2.027583e-02	0.000000	978.088337	2.510170e-05	2.106330e+00	4.115468e-05	1603.593	35.448200 
3.724959e-02	2.039488e-02	0.000000	977.144583	2.524908e-05	2.068164e+00	4.104200e-05	1588.334	35.259853 
3.781460e-02	2.051487e-02	0.000000	976.098829	2.539763e-05	2.030649e+00	4.093111e-05	1573.092	35.069873 
3.838406e-02	2.063581e-02	0.000000	974.971769	2.554735e-05	1.993731e+00	4.082213e-05	1557.908	34.878232 
3.895800e-02	2.075769e-02	0.000000	973.719844	2.569825e-05	1.957442e+00	4.071438e-05	1542.689	34.684814 
3.953642e-02	2.088053e-02	0.000000	972.419082	2.585033e-05	1.921628e+00	4.060833e-05	1527.575	34.489500 
4.011937e-02	2.100433e-02	0.000000	971.019214	2.600359e-05	1.886467e+00	4.050383e-05	1512.483	34.293132 
4.070686e-02	2.112910e-02	0.000000	969.531693	2.615805e-05	1.851842e+00	4.040059e-05	1497.422	34.095091 
4.129891e-02	2.125483e-02	0.000000	967.959091	2.631371e-05	1.817753e+00	4.029860e-05	1482.398	33.895504 
4.189554e-02	2.138154e-02	0.000000	966.300612	2.647058e-05	1.784203e+00	4.019783e-05	1467.410	33.694476 
4.249679e-02	2.150923e-02	0.000000	964.558382	2.662866e-05	1.751176e+00	4.009820e-05	1452.460	33.492015 
4.310266e-02	2.163790e-02	0.000000	962.728174	2.678795e-05	1.718683e+00	3.999974e-05	1437.545	33.288247 
