-----------------------------------------------------------------------
Configuration          | Term      |   J |                   Level    |
3s2.3p5.(2P*<1/2>).5f  | 2[7/2]    |   3 |             124135.669     |
                       |           |   4 |             124135.698     |
                       |           |     |                            |
3s2.3p5.(2P*<1/2>).5f  | 2[5/2]    |   3 |             124137.214     |
                       |           |   2 |             124137.436     |
                       |           |     |                            |
3s2.3p5.(2P*<1/2>).5g  | 2[9/2]*   |   5 |             124148.26      |
                       |           |   4 |             124148.26      |
                       |           |     |                            |
3s2.3p5.(2P*<1/2>).5g  | 2[7/2]*   |   3 |             124148.50      |
                       |           |   4 |             124148.50      |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).8p  | 2[1/2]    |   1 |             124311.68      |
                       |           |   0 |             124439.34      |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).8p  | 2[5/2]    |   3 |             124349.02      |
                       |           |   2 |             124356.89      |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).8p  | 2[3/2]    |   1 |             124376.31      |
                       |           |   2 |             124381.16      |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).7d  | 2[1/2]*   |   0 |             124526.695     |
                       |           |   1 |             124554.874     |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).7d  | 2[3/2]*   |   2 |             124603.890     |
                       |           |   1 |             124788.22      |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).7d  | 2[7/2]*   |   4 |             124609.856     |
                       |           |   3 |             124649.485     |
                       |           |     |                            |
3s2.3p5.(2P*<1/2>).7p  | 2[3/2]    |   1 |             124643.45      |
                       |           |   2 |             124658.44      |
                       |           |     |                            |
3s2.3p5.(2P*<1/2>).7p  | 2[1/2]    |   1 |             124650.95      |
                       |           |   0 |             124749.805     |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).7d  | 2[5/2]*   |   2 |             124691.951     |
                       |           |   3 |             124715.081     |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).9s  | 2[3/2]*   |   2 |             124771.59      |
                       |           |   1 |             124782.61      |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).7f  | 2[3/2]    |   1 |             124857.138     |
                       |           |   2 |             124857.33      |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).7f  | 2[9/2]    |   5 |             124860.602     |
                       |           |   4 |             124860.615     |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).7f  | 2[5/2]    |   3 |             124864.977     |
                       |           |   2 |             124865.09      |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).7g  | 2[11/2]*  |   5 |             124867.27      |
                       |           |   6 |             124867.27      |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).7h  | 2[7/2]    |   3 |             124868.45      |
                       |           |   4 |             124868.45      |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).7f  | 2[7/2]    |   3 |             124868.62      |
                       |           |   4 |             124868.68      |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).7h  | 2[13/2]   |   7 |             124868.97      |
                       |           |   6 |             124868.97      |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).9p  | 2[1/2]    |   1 |             125039.51      |
                       |           |   0 |             125122.50      |
                       |           |     |                            |
3s2.3p5.(2P*<3/2>).9p  | 2[5/2]    |   3 |             125054.13      |
                       |           |   2 |             125059.76      |
