-----------------------------------------------------------------------------------------------------------------------
 Mult. |         Configurations          |     Terms    |      Ei           Ek      | gi   gk |    Aki    | Acc. |Type|
  No.  |                                 |              |    (cm-1)       (cm-1)    |         |    s^-1   |      |    |
       |                                 |              |                           |         |           |      |    |
-----------------------------------------------------------------------------------------------------------------------
    27 |         2s.2p2 - 2s.2p.(3P*).5d |   4P  - 4P*  |  43035.8    -  231064.8   | 12 - 12 | 5.44e+08  |      |    |
       |                                 |              |                           |         |           |      |    |
       |                                 |              |  43003.3    -  231071.7   |  2 - 4  | 2.27e+08  | B    |    |
       |                                 |              |  43025.3    -  231052.9   |  4 - 6  | 1.63e+08  | B    |    |
       |                                 |              |  43025.3    -  231086.6   |  4 - 2  | 4.54e+08  | B    |    |
       |                                 |              |  43053.6    -  231071.7   |  6 - 4  | 2.45e+08  | B    |    |
       |                                 |              |  43003.3    -  231086.6   |  2 - 2  | 9.09e+07  | B    |    |
       |                                 |              |  43025.3    -  231071.7   |  4 - 4  | 7.26e+07  | B    |    |
       |                                 |              |  43053.6    -  231052.9   |  6 - 6  | 3.81e+08  | B    |    |
       |                                 |              |                           |         |           |      |    |
    28 |         2s.2p2 - 2s.2p.(3P*).6s |   4P  - 4P*  |  43035.8    -  233713.3   | 12 - 12 | 7.54e+07  |      |    |
       |                                 |              |                           |         |           |      |    |
       |                                 |              |  43003.3    -  233693.3   |  2 - 4  | 3.14e+07  | C+   |    |
       |                                 |              |  43025.3    -  233740.7   |  4 - 6  | 2.26e+07  | C+   |    |
       |                                 |              |  43025.3    -  233670.9   |  4 - 2  | 6.28e+07  | C+   |    |
       |                                 |              |  43053.6    -  233693.3   |  6 - 4  | 3.39e+07  | C+   |    |
       |                                 |              |  43003.3    -  233670.9   |  2 - 2  | 1.26e+07  | C    |    |
       |                                 |              |  43025.3    -  233693.3   |  4 - 4  | 1.00e+07  | C    |    |
       |                                 |              |  43053.6    -  233740.7   |  6 - 6  | 5.28e+07  | B    |    |
       |                                 |              |                           |         |           |      |    |
    29 |         2s.2p2 - 2s2.3p         |   2D  - 2P*  |  74931.11   -  131731.8   | 10 - 6  | 4.09e+07  |      |    |
       |                                 |              |                           |         |           |      |    |
