---------------------------------------------------------------------------------------------------------------------------------------
 Mult. |               Configurations                |       Terms      |     Ei           Ek       | gi   gk |    Aki    | Acc. |Type|
  No.  |                                             |                  |   (cm-1)       (cm-1)     |         |    s^-1   |      |    |
       |                                             |                  |                           |         |           |      |    |
---------------------------------------------------------------------------------------------------------------------------------------
       |                                             |                  |    43.40   -   83848.83   |  5 - 7  | 1.11e+08  | B+   |    |
       |                                             |                  |    16.40   -   83820.13   |  3 - 3  | 4.29e+07  | B+   |    |
       |                                             |                  |    43.40   -   83838.08   |  5 - 5  | 3.46e+07  | B+   |    |
       |                                             |                  |    43.40   -   83820.13   |  5 - 3  | 2.25e+06  | B+   |    |
       |                                             |                  |                           |         |           |      |    |
    21 |              2s2.2p2 - 2s2.2p.5s            |     3P  - 1P*    |    29.58   -   83877.31   |  9 - 3  | 1.2e+07   |      |    |
       |                                             |                  |                           |         |           |      |    |
       |                                             |                  |    43.40   -   83877.31   |  5 - 3  | 2.19e+06  | B    |    |
       |                                             |                  |    16.40   -   83877.31   |  3 - 3  | 7.6e+06   | C    |    |
       |                                             |                  |     0.00   -   83877.31   |  1 - 3  | 2.15e+06  | C    |    |
       |                                             |                  |                           |         |           |      |    |
    22 |              2s2.2p2 - 2s2.2p.4d            |     3P  - 1F*    |    43.4    -   83947.43   |  9 - 7  | 2.91e+06  |      |    |
       |                                             |                  |                           |         |           |      |    |
       |                                             |                  |    43.40   -   83947.43   |  5 - 7  | 2.91e+06  | C+   |    |
       |                                             |                  |                           |         |           |      |    |
    23 |                                             |     3P  - 1P*    |    29.58   -   84032.15   |  9 - 3  | 1.40e+06  |      |    |
       |                                             |                  |                           |         |           |      |    |
       |                                             |                  |    43.40   -   84032.15   |  5 - 3  | 1.26e+04  | C    |    |
       |                                             |                  |     0.00   -   84032.15   |  1 - 3  | 9.06e+05  | C+   |    |
       |                                             |                  |    16.40   -   84032.15   |  3 - 3  | 4.79e+05  | C+   |    |
       |                                             |                  |                           |         |           |      |    |
    24 |                                             |     3P  - 3P*    |    29.58   -   84109.44   |  9 - 9  | 6.64e+07  |      |    |
       |                                             |                  |                           |         |           |      |    |
       |                                             |                  |    16.40   -   84121.22   |  3 - 1  | 7.18e+07  | B    |    |
       |                                             |                  |    43.40   -   84116.09   |  5 - 3  | 2.96e+07  | B    |    |
       |                                             |                  |    43.40   -   84103.10   |  5 - 5  | 5.28e+07  | B    |    |
       |                                             |                  |    16.40   -   84116.09   |  3 - 3  | 2.01e+07  | B    |    |
       |                                             |                  |    16.40   -   84103.10   |  3 - 5  | 1.09e+07  | B    |    |
       |                                             |                  |     0.00   -   84116.09   |  1 - 3  | 1.95e+07  | B    |    |
       |                                             |                  |                           |         |           |      |    |
    25 |              2s2.2p2 - 2s2.2p.5d            |     3P  - 1D*    |    33.28   -   86185.2    |  9 - 5  | 4.46e+05  |      |    |
       |                                             |                  |                           |         |           |      |    |
       |                                             |                  |    16.40   -   86185.20   |  3 - 5  | 3.27e+05  | C    |    |
       |                                             |                  |    43.40   -   86185.20   |  5 - 5  | 1.19e+05  | C    |    |
       |                                             |                  |                           |         |           |      |    |
    26 |                                             |     3P  - 3F*    |    33.28   -   86323.19   |  9 - 21 | 3.71e+06  |      |    |
       |                                             |                  |                           |         |           |      |    |
       |                                             |                  |    43.40   -   86317.64   |  5 - 5  | 3.55e+05  | C    |    |
       |                                             |                  |    16.40   -   86317.64   |  3 - 5  | 5.11e+06  | C+   |    |
       |                                             |                  |    43.40   -   86327.16   |  5 - 7  | 7.22e+06  | C+   |    |
       |                                             |                  |                           |         |           |      |    |
    27 |              2s2.2p2 - 2s2.2p.6s            |     3P  - 3P*    |    29.58   -   86351.65   |  9 - 9  | 3.18e+07  |      |    |
       |                                             |                  |                           |         |           |      |    |
       |                                             |                  |    16.40   -   86369.60   |  3 - 5  | 3.10e+07  | B    |    |
       |                                             |                  |    43.40   -   86369.60   |  5 - 5  | 8.20e+06  | C+   |    |
       |                                             |                  |    16.40   -   86331.63   |  3 - 3  | 3.36e+06  | C+   |    |
       |                                             |                  |    43.40   -   86331.63   |  5 - 3  | 8.37e+06  | C+   |    |
       |                                             |                  |    16.40   -   86321.94   |  3 - 1  | 2.19e+07  | B    |    |
       |                                             |                  |     0.00   -   86331.63   |  1 - 3  | 1.09e+07  | B    |    |
       |                                             |                  |                           |         |           |      |    |
    28 |              2s2.2p2 - 2s2.2p.5d            |     3P  - 3D*    |    29.58   -   86387.94   |  9 - 15 | 5.4e+07   |      |    |
       |                                             |                  |                           |         |           |      |    |
       |                                             |                  |     0.00   -   86362.52   |  1 - 3  | 3.52e+07  | B+   |    |
       |                                             |                  |    43.40   -   86397.80   |  5 - 7  | 5.57e+07  | B+   |    |
       |                                             |                  |    16.40   -   86389.38   |  3 - 5  | 2.62e+07  | B+   |    |
       |                                             |                  |    43.40   -   86389.38   |  5 - 5  | 2.58e+07  | B+   |    |
       |                                             |                  |    16.40   -   86362.52   |  3 - 3  | 1.98e+07  | B+   |    |
       |                                             |                  |    43.40   -   86362.52   |  5 - 3  | 6.3e+05   | C    |    |
       |                                             |                  |                           |         |           |      |    |
    29 |              2s2.2p2 - 2s2.2p.6s            |     3P  - 1P*    |    29.58   -   86416.55   |  9 - 3  | 1.14e+07  |      |    |
       |                                             |                  |                           |         |           |      |    |
       |                                             |                  |     0.00   -   86416.55   |  1 - 3  | 1.45e+06  | C+   |    |
       |                                             |                  |    16.40   -   86416.55   |  3 - 3  | 7.50e+06  | C+   |    |
       |                                             |                  |    43.40   -   86416.55   |  5 - 3  | 2.50e+06  | C+   |    |
       |                                             |                  |                           |         |           |      |    |
    30 |              2s2.2p2 - 2s2.2p.5d            |     3P  - 1F*    |    43.4    -   86449.19   |  9 - 7  | 3.99e+06  |      |    |
       |                                             |                  |                           |         |           |      |    |
       |                                             |                  |    43.40   -   86449.19   |  5 - 7  | 3.99e+06  | C+   |    |
       |                                             |                  |                           |         |           |      |    |
    31 |                                             |     3P  - 1P*    |    29.58   -   86491.41   |  9 - 3  | 2.2e+06   |      |    |
       |                                             |                  |                           |         |           |      |    |
       |                                             |                  |     0.00   -   86491.41   |  1 - 3  | 1.35e+06  | C+   |    |
       |                                             |                  |    16.40   -   86491.41   |  3 - 3  | 8.1e+05   | C    |    |
       |                                             |                  |    43.40   -   86491.41   |  5 - 3  | 3.3e+04   | D    |    |
       |                                             |                  |                           |         |           |      |    |
    32 |                                             |     3P  - 3P*    |    29.58   -   86512.79   |  9 - 9  | 3.20e+07  |      |    |
       |                                             |                  |                           |         |           |      |    |
       |                                             |                  |    43.40   -   86506.70   |  5 - 5  | 2.69e+07  | B    |    |
       |                                             |                  |    16.40   -   86519.47   |  3 - 3  | 1.14e+07  | B    |    |
       |                                             |                  |    43.40   -   86519.47   |  5 - 3  | 1.51e+07  | B    |    |
       |                                             |                  |    16.40   -   86523.16   |  3 - 1  | 3.74e+07  | B    |    |
       |                                             |                  |    16.40   -   86506.70   |  3 - 5  | 2.39e+06  | C+   |    |
       |                                             |                  |     0.00   -   86519.47   |  1 - 3  | 8.21e+06  | C+   |    |
       |                                             |                  |                           |         |           |      |    |
    33 |              2s2.2p2 - 2s2.2p.6d            |     3P  - 1D*    |    33.28   -   87633.75   |  9 - 5  | 6.51e+05  |      |    |
       |                                             |                  |                           |         |           |      |    |
       |                                             |                  |    16.40   -   87633.75   |  3 - 5  | 4.48e+05  | C    |    |
       |                                             |                  |    43.40   -   87633.75   |  5 - 5  | 2.03e+05  | C    |    |
       |                                             |                  |                           |         |           |      |    |
    34 |                                             |     3P  - 3F*    |    33.28   -   87711.23   |  9 - 21 | 3.66e+06  |      |    |
       |                                             |                  |                           |         |           |      |    |
       |                                             |                  |    43.40   -   87708.21   |  5 - 5  | 1.95e+05  | C    |    |
