# T(SEC)      TMP(K)       H2         H          O          O2         OH         H2O        H2O2       HO2        CH2        CH3        CH4        CO         HCO        CH2O       CH3O       C2H6       N2        
0.30000E-05 0.19962E+04 0.32210E-03 0.15101E-04 0.13113E-04 0.18969E+00 0.35042E-04 0.32268E-03 0.93319E-07 0.74613E-04 0.00000E+00 0.10714E-02 0.93763E-01 0.10294E-05 0.11762E-06 0.15799E-03 0.40895E-05 0.92773E-05 0.71452E+00
0.31000E-05 0.19961E+04 0.33373E-03 0.15208E-04 0.13406E-04 0.18967E+00 0.35988E-04 0.34054E-03 0.99634E-07 0.79468E-04 0.00000E+00 0.11100E-02 0.93709E-01 0.11692E-05 0.12971E-06 0.16991E-03 0.42776E-05 0.10131E-04 0.71451E+00
0.32000E-05 0.19960E+04 0.34543E-03 0.15318E-04 0.13699E-04 0.18964E+00 0.36950E-04 0.35888E-03 0.10614E-06 0.84463E-04 0.00000E+00 0.11486E-02 0.93654E-01 0.13232E-05 0.14268E-06 0.18233E-03 0.44700E-05 0.11029E-04 0.71450E+00
0.33000E-05 0.19959E+04 0.35718E-03 0.15433E-04 0.13993E-04 0.18962E+00 0.37928E-04 0.37770E-03 0.11282E-06 0.89597E-04 0.00000E+00 0.11874E-02 0.93599E-01 0.14924E-05 0.15657E-06 0.19524E-03 0.46667E-05 0.11971E-04 0.71449E+00
0.34000E-05 0.19958E+04 0.36901E-03 0.15552E-04 0.14287E-04 0.18959E+00 0.38923E-04 0.39701E-03 0.11969E-06 0.94867E-04 0.00000E+00 0.12263E-02 0.93543E-01 0.16779E-05 0.17145E-06 0.20867E-03 0.48679E-05 0.12958E-04 0.71448E+00
0.35000E-05 0.19958E+04 0.38090E-03 0.15675E-04 0.14582E-04 0.18957E+00 0.39935E-04 0.41683E-03 0.12674E-06 0.10027E-03 0.00000E+00 0.12652E-02 0.93486E-01 0.18807E-05 0.18736E-06 0.22262E-03 0.50737E-05 0.13991E-04 0.71447E+00
0.36000E-05 0.19957E+04 0.39287E-03 0.15804E-04 0.14878E-04 0.18954E+00 0.40964E-04 0.43717E-03 0.13397E-06 0.10581E-03 0.00000E+00 0.13043E-02 0.93429E-01 0.21021E-05 0.20435E-06 0.23709E-03 0.52843E-05 0.15070E-04 0.71446E+00
0.37000E-05 0.19956E+04 0.40491E-03 0.15936E-04 0.15174E-04 0.18951E+00 0.42012E-04 0.45802E-03 0.14137E-06 0.11149E-03 0.00000E+00 0.13434E-02 0.93370E-01 0.23433E-05 0.22247E-06 0.25210E-03 0.54998E-05 0.16196E-04 0.71445E+00
0.38000E-05 0.19955E+04 0.41703E-03 0.16074E-04 0.15471E-04 0.18949E+00 0.43078E-04 0.47940E-03 0.14895E-06 0.11730E-03 0.00000E+00 0.13827E-02 0.93311E-01 0.26057E-05 0.24179E-06 0.26765E-03 0.57203E-05 0.17368E-04 0.71444E+00
0.39000E-05 0.19955E+04 0.42923E-03 0.16217E-04 0.15769E-04 0.18946E+00 0.44163E-04 0.50133E-03 0.15669E-06 0.12323E-03 0.00000E+00 0.14221E-02 0.93252E-01 0.28906E-05 0.26236E-06 0.28375E-03 0.59458E-05 0.18588E-04 0.71443E+00
0.40000E-05 0.19954E+04 0.44152E-03 0.16364E-04 0.16067E-04 0.18943E+00 0.45267E-04 0.52380E-03 0.16461E-06 0.12930E-03 0.00000E+00 0.14615E-02 0.93191E-01 0.31994E-05 0.28425E-06 0.30042E-03 0.61767E-05 0.19856E-04 0.71442E+00
0.41000E-05 0.19953E+04 0.45389E-03 0.16516E-04 0.16367E-04 0.18940E+00 0.46391E-04 0.54683E-03 0.17269E-06 0.13549E-03 0.00000E+00 0.15011E-02 0.93130E-01 0.35337E-05 0.30751E-06 0.31765E-03 0.64128E-05 0.21173E-04 0.71441E+00
0.42000E-05 0.19953E+04 0.46635E-03 0.16674E-04 0.16667E-04 0.18937E+00 0.47535E-04 0.57044E-03 0.18093E-06 0.14181E-03 0.00000E+00 0.15407E-02 0.93067E-01 0.38952E-05 0.33222E-06 0.33546E-03 0.66545E-05 0.22538E-04 0.71440E+00
0.43000E-05 0.19952E+04 0.47891E-03 0.16837E-04 0.16968E-04 0.18934E+00 0.48699E-04 0.59462E-03 0.18933E-06 0.14826E-03 0.00000E+00 0.15805E-02 0.93004E-01 0.42853E-05 0.35844E-06 0.35385E-03 0.69017E-05 0.23952E-04 0.71439E+00
0.44000E-05 0.19952E+04 0.49157E-03 0.17005E-04 0.17270E-04 0.18930E+00 0.49884E-04 0.61940E-03 0.19789E-06 0.15483E-03 0.00000E+00 0.16204E-02 0.92940E-01 0.47059E-05 0.38625E-06 0.37285E-03 0.71547E-05 0.25416E-04 0.71438E+00
0.45000E-05 0.19951E+04 0.50432E-03 0.17179E-04 0.17573E-04 0.18927E+00 0.51091E-04 0.64478E-03 0.20661E-06 0.16152E-03 0.00000E+00 0.16604E-02 0.92876E-01 0.51589E-05 0.41572E-06 0.39244E-03 0.74135E-05 0.26931E-04 0.71437E+00
