# Spectral intensities against wavelength averaged over spatial strips 139 to 141
# Wavel (nm); 	 Intens (W/cm**2-sr-um)
1.898780e+02 	 0.000000e+00
1.901600e+02 	 1.360085e+03
1.904410e+02 	 1.290659e+03
1.907230e+02 	 1.244769e+03
1.910040e+02 	 1.113536e+03
1.912860e+02 	 1.189059e+03
1.915670e+02 	 1.045430e+03
1.918490e+02 	 9.417643e+02
1.921300e+02 	 7.021915e+02
1.924120e+02 	 6.980936e+02
1.926930e+02 	 8.791109e+02
1.929750e+02 	 7.818120e+02
1.932560e+02 	 6.931152e+02
1.935370e+02 	 5.696712e+02
1.938190e+02 	 5.827437e+02
1.941000e+02 	 5.189051e+02
1.943820e+02 	 3.431371e+02
1.946630e+02 	 3.566499e+02
1.949440e+02 	 4.653619e+02
1.952260e+02 	 6.256867e+02
1.955070e+02 	 5.691293e+02
1.957880e+02 	 4.989915e+02
1.960700e+02 	 4.239768e+02
1.963510e+02 	 3.999653e+02
1.966320e+02 	 3.405293e+02
1.969130e+02 	 3.527213e+02
1.971950e+02 	 4.240445e+02
1.974760e+02 	 3.714496e+02
1.977570e+02 	 3.245781e+02
1.980380e+02 	 2.897632e+02
1.983200e+02 	 2.959269e+02
1.986010e+02 	 2.866475e+02
1.988820e+02 	 3.234944e+02
1.991630e+02 	 3.038179e+02
1.994440e+02 	 3.374136e+02
1.997250e+02 	 3.037163e+02
2.000070e+02 	 2.338832e+02
2.002880e+02 	 2.205397e+02
2.005690e+02 	 2.355088e+02
2.008500e+02 	 3.057821e+02
2.011310e+02 	 2.751328e+02
2.014120e+02 	 2.936240e+02
2.016930e+02 	 2.757085e+02
2.019740e+02 	 2.334429e+02
2.022550e+02 	 2.410291e+02
2.025360e+02 	 2.328333e+02
2.028180e+02 	 1.908725e+02
2.030990e+02 	 2.556933e+02
2.033800e+02 	 2.017099e+02
2.036610e+02 	 1.513501e+02
2.039420e+02 	 1.881293e+02
2.042230e+02 	 2.340864e+02
2.045040e+02 	 2.131568e+02
2.047850e+02 	 2.301240e+02
2.050650e+02 	 1.981539e+02
2.053460e+02 	 2.031323e+02
2.056270e+02 	 2.069931e+02
2.059080e+02 	 1.792563e+02
2.061890e+02 	 1.270677e+02
2.064700e+02 	 1.915499e+02
2.067510e+02 	 1.903307e+02
2.070320e+02 	 2.161709e+02
2.073130e+02 	 1.963589e+02
2.075940e+02 	 2.171531e+02
2.078740e+02 	 2.126827e+02
2.081550e+02 	 1.946317e+02
2.084360e+02 	 1.583267e+02
2.087170e+02 	 1.578525e+02
2.089980e+02 	 1.350264e+02
2.092780e+02 	 1.809157e+02
2.095590e+02 	 1.592072e+02
2.098400e+02 	 1.684528e+02
2.101210e+02 	 1.360356e+02
2.104020e+02 	 1.400725e+02
2.106820e+02 	 1.706203e+02
2.109630e+02 	 1.651000e+02
2.112440e+02 	 1.688253e+02
2.115240e+02 	 1.545336e+02
2.118050e+02 	 1.625261e+02
2.120860e+02 	 1.384808e+02
2.123670e+02 	 1.301157e+02
2.126470e+02 	 1.305560e+02
2.129280e+02 	 1.338749e+02
2.132080e+02 	 1.533144e+02
2.134890e+02 	 1.219200e+02
2.137700e+02 	 1.046582e+02
2.140500e+02 	 1.175139e+02
2.143310e+02 	 1.060975e+02
2.146120e+02 	 1.111098e+02
2.148920e+02 	 1.245751e+02
2.151730e+02 	 1.178526e+02
2.154530e+02 	 1.158003e+02
2.157340e+02 	 1.327573e+02
2.160140e+02 	 1.378373e+02
2.162950e+02 	 8.722360e+01
2.165750e+02 	 1.177544e+02
2.168560e+02 	 9.685528e+01
2.171360e+02 	 1.144693e+02
2.174170e+02 	 1.077163e+02
2.176970e+02 	 1.066326e+02
2.179780e+02 	 9.474539e+01
2.182580e+02 	 1.050171e+02
2.185390e+02 	 1.127929e+02
2.188190e+02 	 9.686544e+01
2.190990e+02 	 1.087493e+02
2.193800e+02 	 1.206635e+02
2.196600e+02 	 9.936480e+01
2.199410e+02 	 1.036218e+02
2.202210e+02 	 1.130402e+02
2.205010e+02 	 1.204299e+02
2.207820e+02 	 8.901853e+01
2.210620e+02 	 6.857323e+01
2.213420e+02 	 5.973064e+01
2.216230e+02 	 8.495115e+01
2.219030e+02 	 1.040452e+02
2.221830e+02 	 1.023518e+02
2.224640e+02 	 7.441523e+01
2.227440e+02 	 7.720584e+01
2.230240e+02 	 8.275320e+01
2.233040e+02 	 7.183797e+01
2.235850e+02 	 7.182443e+01
2.238650e+02 	 6.817699e+01
2.241450e+02 	 6.464808e+01
2.244250e+02 	 6.471920e+01
2.247050e+02 	 5.768171e+01
2.249860e+02 	 8.106325e+01
2.252660e+02 	 8.072459e+01
2.255460e+02 	 6.945376e+01
2.258260e+02 	 6.076357e+01
2.261060e+02 	 7.487243e+01
2.263860e+02 	 8.002355e+01
2.266670e+02 	 7.653528e+01
2.269470e+02 	 6.733032e+01
2.272270e+02 	 7.549557e+01
2.275070e+02 	 6.535928e+01
2.277870e+02 	 7.741581e+01
2.280670e+02 	 6.496643e+01
2.283470e+02 	 6.142059e+01
2.286270e+02 	 6.988387e+01
2.289070e+02 	 7.125208e+01
2.291870e+02 	 7.123515e+01
2.294670e+02 	 8.936059e+01
2.297470e+02 	 8.383693e+01
2.300270e+02 	 9.460992e+01
2.303070e+02 	 9.618472e+01
2.305870e+02 	 8.726424e+01
2.308670e+02 	 8.872728e+01
2.311470e+02 	 6.894237e+01
2.314270e+02 	 8.494099e+01
2.317070e+02 	 1.015390e+02
2.319870e+02 	 1.092369e+02
2.322670e+02 	 8.700347e+01
2.325470e+02 	 6.156621e+01
2.328270e+02 	 4.150699e+01
2.331060e+02 	 6.563021e+01
2.333860e+02 	 4.492075e+01
2.336660e+02 	 4.678680e+01
2.339460e+02 	 6.339840e+01
2.342260e+02 	 4.539149e+01
2.345060e+02 	 3.992203e+01
2.347850e+02 	 5.245947e+01
2.350650e+02 	 4.122251e+01
2.353450e+02 	 4.010152e+01
2.356250e+02 	 3.867912e+01
2.359050e+02 	 4.129363e+01
2.361840e+02 	 4.361349e+01
2.364640e+02 	 4.641088e+01
2.367440e+02 	 4.303776e+01
2.370240e+02 	 4.196080e+01
2.373030e+02 	 3.529923e+01
2.375830e+02 	 3.839803e+01
2.378630e+02 	 4.407069e+01
2.381420e+02 	 2.773341e+01
2.384220e+02 	 4.243832e+01
2.387020e+02 	 4.312581e+01
2.389810e+02 	 3.012779e+01
2.392610e+02 	 3.377861e+01
2.395410e+02 	 3.893312e+01
2.398200e+02 	 2.794677e+01
2.401000e+02 	 3.609848e+01
2.403790e+02 	 3.108960e+01
2.406590e+02 	 2.877651e+01
2.409390e+02 	 3.317917e+01
2.412180e+02 	 4.463965e+01
2.414980e+02 	 2.997877e+01
2.417770e+02 	 2.592832e+01
2.420570e+02 	 3.262037e+01
2.423360e+02 	 2.696125e+01
2.426160e+02 	 2.787227e+01
2.428950e+02 	 2.534920e+01
2.431750e+02 	 2.605024e+01
2.434540e+02 	 2.139019e+01
2.437340e+02 	 2.679192e+01
2.440130e+02 	 2.049949e+01
2.442930e+02 	 3.006005e+01
2.445720e+02 	 3.453723e+01
2.448510e+02 	 2.981621e+01
2.451310e+02 	 3.822192e+01
2.454100e+02 	 3.025309e+01
