# Intensities integrated over 190.44 nm to 239.82 nm against X
# x (cm); 	 Intens (W/cm**2-sr)
9.595550e+00 	 7.662074e-02
9.635860e+00 	 8.845075e-02
9.676180e+00 	 9.483981e-02
9.716500e+00 	 1.181415e-01
9.756820e+00 	 9.435203e-02
9.797130e+00 	 7.161730e-02
9.837450e+00 	 8.338762e-02
9.877770e+00 	 6.559142e-02
9.918090e+00 	 9.396503e-02
9.958400e+00 	 9.499284e-02
9.998720e+00 	 9.540452e-02
1.003900e+01 	 1.198820e-01
1.007940e+01 	 8.838360e-02
1.011970e+01 	 8.474170e-02
1.016000e+01 	 8.144258e-02
1.020030e+01 	 1.171995e-01
1.024060e+01 	 1.702115e-01
1.028090e+01 	 0.000000e+00
