# Spectral intensities against wavelength averaged over spatial strips 353 to 355
# Wavel (nm); 	 Intens (W/cm**2-sr-um)
6.289330e+02 	 8.950283e+00
6.293770e+02 	 9.167029e+00
6.298220e+02 	 9.671643e+00
6.302660e+02 	 8.796528e+00
6.307110e+02 	 8.960443e+00
6.311560e+02 	 1.043364e+01
6.316000e+02 	 9.785435e+00
6.320450e+02 	 1.025686e+01
6.324890e+02 	 9.273032e+00
6.329340e+02 	 1.068967e+01
6.333780e+02 	 1.177544e+01
6.338230e+02 	 1.038284e+01
6.342670e+02 	 9.823704e+00
6.347120e+02 	 1.023349e+01
6.351570e+02 	 1.214797e+01
6.356010e+02 	 1.040486e+01
6.360460e+02 	 1.174835e+01
6.364900e+02 	 1.132163e+01
6.369350e+02 	 1.105069e+01
6.373790e+02 	 1.136565e+01
6.378240e+02 	 1.061686e+01
6.382680e+02 	 1.152144e+01
6.387130e+02 	 1.102699e+01
6.391570e+02 	 1.198880e+01
6.396020e+02 	 1.289643e+01
6.400460e+02 	 1.117735e+01
6.404900e+02 	 1.069882e+01
6.409350e+02 	 1.112520e+01
6.413790e+02 	 1.060027e+01
6.418240e+02 	 1.101378e+01
6.422680e+02 	 1.165013e+01
6.427130e+02 	 1.256115e+01
6.431570e+02 	 1.187365e+01
6.436020e+02 	 1.073438e+01
6.440460e+02 	 1.053931e+01
6.444900e+02 	 1.022706e+01
6.449350e+02 	 1.146725e+01
6.453790e+02 	 1.099210e+01
6.458240e+02 	 1.163828e+01
6.462680e+02 	 9.711944e+00
6.467120e+02 	 9.503325e+00
6.471570e+02 	 9.254067e+00
6.476010e+02 	 9.770872e+00
6.480460e+02 	 9.517211e+00
6.484900e+02 	 9.583928e+00
6.489340e+02 	 1.037438e+01
6.493790e+02 	 1.027244e+01
6.498230e+02 	 9.895840e+00
6.502670e+02 	 8.777224e+00
6.507120e+02 	 9.709912e+00
6.511560e+02 	 1.109811e+01
6.516000e+02 	 9.973056e+00
6.520450e+02 	 8.545237e+00
6.524890e+02 	 1.014408e+01
6.529330e+02 	 9.511453e+00
6.533780e+02 	 7.210552e+00
6.538220e+02 	 8.127323e+00
6.542660e+02 	 7.611533e+00
6.547100e+02 	 8.500533e+00
6.551550e+02 	 7.374128e+00
6.555990e+02 	 5.865368e+00
6.560430e+02 	 6.360160e+00
6.564880e+02 	 8.153739e+00
6.569320e+02 	 7.369725e+00
6.573760e+02 	 8.816848e+00
6.578200e+02 	 8.815155e+00
6.582650e+02 	 9.575461e+00
6.587090e+02 	 8.620083e+00
6.591530e+02 	 8.006080e+00
6.595970e+02 	 7.863163e+00
6.600420e+02 	 7.351776e+00
6.604860e+02 	 6.539315e+00
6.609300e+02 	 7.484533e+00
6.613740e+02 	 7.477421e+00
6.618190e+02 	 7.614920e+00
6.622630e+02 	 6.559635e+00
6.627070e+02 	 7.271173e+00
6.631510e+02 	 7.706360e+00
6.635950e+02 	 7.687395e+00
6.640390e+02 	 7.469632e+00
6.644840e+02 	 8.363712e+00
6.649280e+02 	 7.939024e+00
